,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,9577000000.0,9497000000.0,9405000000.0,9352000000.0
Capital Surplus,9360000000.0,9352000000.0,9244000000.0,9253000000.0
Total Liab,53521000000.0,52653000000.0,53416000000.0,61765000000.0
Total Stockholder Equity,34455000000.0,33921000000.0,33199000000.0,33853000000.0
Minority Interest,,,,65000000.0
Other Current Liab,8005000000.0,7014000000.0,7195000000.0,11182000000.0
Total Assets,87976000000.0,86574000000.0,86615000000.0,95683000000.0
Common Stock,3000000.0,3000000.0,3000000.0,2000000.0
Other Current Assets,4442000000.0,4101000000.0,4060000000.0,4878000000.0
Retained Earnings,25346000000.0,24678000000.0,23802000000.0,24793000000.0
Other Liab,4311000000.0,4200000000.0,3781000000.0,3681000000.0
Good Will,21641000000.0,21687000000.0,21691000000.0,21708000000.0
Treasury Stock,-254000000.0,-112000000.0,150000000.0,-195000000.0
Other Assets,1033000000.0,1170000000.0,1354000000.0,935000000.0
Cash,6028000000.0,3984000000.0,5741000000.0,9326000000.0
Total Current Liabilities,28522000000.0,28561000000.0,29453000000.0,34749000000.0
Short Long Term Debt,1603000000.0,1599000000.0,700000000.0,700000000.0
Other Stockholder Equity,-254000000.0,-112000000.0,150000000.0,-195000000.0
Property Plant Equipment,4344000000.0,4042000000.0,4129000000.0,4161000000.0
Total Current Assets,46764000000.0,45450000000.0,45751000000.0,54495000000.0
Long Term Investments,4617000000.0,4728000000.0,4285000000.0,5032000000.0
Net Tangible Assets,3237000000.0,2737000000.0,2103000000.0,2793000000.0
Short Term Investments,25488000000.0,25782000000.0,24992000000.0,28185000000.0
Net Receivables,10806000000.0,11583000000.0,10958000000.0,12106000000.0
Long Term Debt,19873000000.0,19094000000.0,19335000000.0,22534000000.0
Accounts Payable,18721000000.0,19606000000.0,21442000000.0,22751000000.0
