,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,-1954000000.0,-1507000000.0,-1170000000.0,-74000000.0
Change To Liabilities,-191000000.0,14000000.0,247000000.0,-29000000.0
Total Cashflows From Investing Activities,-2159000000.0,-1628000000.0,-1384000000.0,-319000000.0
Total Cash From Financing Activities,775000000.0,-1798000000.0,-3590000000.0,-1939000000.0
Change To Operating Activities,327000000.0,178000000.0,336000000.0,-428000000.0
Net Income,1803000000.0,2021000000.0,1615000000.0,1646000000.0
Change In Cash,1458000000.0,-58000000.0,-2821000000.0,-154000000.0
Repurchase Of Stock,-555000000.0,-765000000.0,-1205000000.0,-871000000.0
Total Cash From Operating Activities,2842000000.0,3368000000.0,2153000000.0,2104000000.0
Depreciation,930000000.0,901000000.0,712000000.0,841000000.0
Other Cashflows From Investing Activities,-47000000.0,14000000.0,-41000000.0,-79000000.0
Dividends Paid,-942000000.0,-936000000.0,-932000000.0,-1016000000.0
Change To Inventory,-113000000.0,-90000000.0,101000000.0,-126000000.0
Change To Account Receivables,-222000000.0,1146000000.0,-396000000.0,91000000.0
Other Cashflows From Financing Activities,-17000000.0,-9000000.0,-3000000.0,-52000000.0
Change To Netincome,-39000000.0,-53000000.0,78000000.0,-12000000.0
Capital Expenditures,-158000000.0,-135000000.0,-173000000.0,-166000000.0
Net Borrowings,2289000000.0,-88000000.0,-1450000000.0,
