,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30
Change To Liabilities,-96900000.0,-23900000.0,-29000000.0,61200000.0,46800000.0
Total Cashflows From Investing Activities,-96600000.0,-44000000.0,-65700000.0,-71700000.0,-82300000.0
Net Borrowings,268600000.0,-271200000.0,-1700000.0,-2100000.0,-2100000.0
Total Cash From Financing Activities,746800000.0,-273600000.0,-34800000.0,-27100000.0,-143400000.0
Change To Operating Activities,-14200000.0,89200000.0,71200000.0,3200000.0,69800000.0
Issuance Of Stock,508200000.0,4200000.0,6200000.0,23800000.0,12000000.0
Net Income,-480000000.0,36100000.0,96000000.0,128700000.0,368500000.0
Change In Cash,441600000.0,-108700000.0,122700000.0,216600000.0,220800000.0
Repurchase Of Stock,-30000000.0,-6600000.0,-200000.0,-400000.0,-38200000.0
Total Cash From Operating Activities,-208600000.0,208900000.0,223200000.0,315400000.0,446500000.0
Depreciation,68700000.0,87600000.0,86000000.0,88200000.0,63700000.0
Other Cashflows From Investing Activities,700000.0,-400000.0,100000.0,1400000.0,100000.0
Dividends Paid,-39100000.0,-39100000.0,-39100000.0,-48200000.0,-115300000.0
Change To Inventory,8200000.0,16800000.0,-12900000.0,14800000.0,-2600000.0
Change To Account Receivables,900000.0,2600000.0,1000000.0,2200000.0,-24200000.0
Other Cashflows From Financing Activities,-200000.0,-200000.0,-200000.0,-200000.0,200000.0
Change To Netincome,276900000.0,-1600000.0,16500000.0,10600000.0,191200000.0
Capital Expenditures,-85400000.0,-42200000.0,-66000000.0,-69100000.0,-77600000.0
