,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,11070000000.0,10914000000.0,10747000000.0,10584000000.0
Capital Surplus,27891000000.0,27895000000.0,27707000000.0,27630000000.0
Total Liab,17379000000.0,17344000000.0,17586000000.0,17771000000.0
Total Stockholder Equity,24561000000.0,24106000000.0,24824000000.0,24538000000.0
Minority Interest,240000000.0,240000000.0,239000000.0,240000000.0
Other Current Liab,1109000000.0,883000000.0,2980000000.0,2561000000.0
Total Assets,42180000000.0,41690000000.0,42649000000.0,42549000000.0
Common Stock,7000000.0,7000000.0,7000000.0,7000000.0
Other Current Assets,1171000000.0,1146000000.0,717000000.0,1383000000.0
Retained Earnings,508000000.0,,,268000000.0
Other Liab,8748000000.0,8508000000.0,7545000000.0,7670000000.0
Good Will,10069000000.0,10110000000.0,10269000000.0,10146000000.0
Treasury Stock,-3845000000.0,-3796000000.0,-2890000000.0,-3367000000.0
Other Assets,2264000000.0,2243000000.0,1882000000.0,2420000000.0
Cash,2809000000.0,2768000000.0,3526000000.0,2404000000.0
Total Current Liabilities,7529000000.0,7734000000.0,8548000000.0,8999000000.0
Deferred Long Term Asset Charges,290000000.0,289000000.0,464000000.0,433000000.0
Short Long Term Debt,1000000.0,1000000.0,1000000.0,1000000.0
Other Stockholder Equity,-3845000000.0,-3796000000.0,-2890000000.0,-3367000000.0
Property Plant Equipment,4293000000.0,4273000000.0,4917000000.0,4299000000.0
Total Current Assets,14422000000.0,14088000000.0,14768000000.0,15036000000.0
Long Term Investments,62000000.0,62000000.0,66000000.0,64000000.0
Net Tangible Assets,3422000000.0,3082000000.0,3808000000.0,3808000000.0
Short Term Investments,60000000.0,152000000.0,269000000.0,114000000.0
Net Receivables,6793000000.0,5648000000.0,4948000000.0,6814000000.0
Long Term Debt,1097000000.0,1098000000.0,1098000000.0,1102000000.0
Inventory,3589000000.0,4374000000.0,4882000000.0,4321000000.0
Accounts Payable,2891000000.0,2994000000.0,3615000000.0,3098000000.0
