,2020-07-31,2020-10-31,2021-01-31,2021-04-30
Change To Liabilities,97437000.0,57687000.0,-18846000.0,105560000.0
Total Cashflows From Investing Activities,-88192000.0,-35493000.0,-103460000.0,-17290000.0
Net Borrowings,-105781000.0,-4662000.0,-5694000.0,-7500000.0
Total Cash From Financing Activities,-130785000.0,10870000.0,-293064000.0,-70673000.0
Change To Operating Activities,-79470000.0,-16030000.0,-83381000.0,-101215000.0
Issuance Of Stock,24876000.0,74166000.0,15092000.0,88111000.0
Net Income,252911000.0,197455000.0,162345000.0,195078000.0
Change In Cash,193570000.0,185982000.0,-212565000.0,434831000.0
Repurchase Of Stock,-69880000.0,-57318000.0,-252462000.0,-200284000.0
Effect Of Exchange Rate,13124000.0,8454000.0,10001000.0,-3544000.0
Total Cash From Operating Activities,399423000.0,202151000.0,173958000.0,526338000.0
Depreciation,40657000.0,39514000.0,38574000.0,37396000.0
Other Cashflows From Investing Activities,-800000.0,-800000.0,-800000.0,-800000.0
Change To Inventory,7056000.0,-37984000.0,-37764000.0,-541000.0
Change To Account Receivables,-5134000.0,-147139000.0,-14910000.0,172547000.0
Other Cashflows From Financing Activities,20000000.0,-1316000.0,-50000000.0,49000000.0
Change To Netincome,51115000.0,73006000.0,88652000.0,110616000.0
Capital Expenditures,-39571000.0,-34483000.0,-27779000.0,-16281000.0
Investments,2151000.0,,,
