,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,246868000.0,240858000.0,234748000.0,229595000.0
Capital Surplus,1380772000.0,1391837000.0,1402537000.0,1421445000.0
Total Liab,4498350000.0,4498305000.0,4641881000.0,5047111000.0
Total Stockholder Equity,-310932000.0,-386586000.0,-443234000.0,-481582000.0
Deferred Long Term Liab,1500000.0,1400000.0,1300000.0,1900000.0
Other Current Liab,618012000.0,553526000.0,702065000.0,697818000.0
Total Assets,4187418000.0,4111719000.0,4198647000.0,4565529000.0
Common Stock,1328000.0,1328000.0,1328000.0,1331000.0
Other Current Assets,19329000.0,63960000.0,20597000.0,14157000.0
Retained Earnings,2346580000.0,2463108000.0,2554295000.0,2685167000.0
Other Liab,131896000.0,144856000.0,100993000.0,103019000.0
Good Will,1559565000.0,1562377000.0,1566022000.0,1566541000.0
Treasury Stock,-4039612000.0,-4242859000.0,-4401394000.0,-4589525000.0
Other Assets,38586000.0,42494000.0,47605000.0,48437000.0
Cash,1384977000.0,1302858000.0,1300521000.0,1747147000.0
Total Current Liabilities,845003000.0,834854000.0,1021769000.0,1425327000.0
Deferred Long Term Asset Charges,20664000.0,23773000.0,23627000.0,24131000.0
Short Long Term Debt,,,,496425000.0
Other Stockholder Equity,-71068000.0,-65296000.0,-58859000.0,-59816000.0
Property Plant Equipment,241672000.0,232692000.0,233776000.0,226428000.0
Total Current Assets,1909871000.0,1843092000.0,1925598000.0,2306639000.0
Long Term Investments,190856000.0,190206000.0,190898000.0,187889000.0
Net Tangible Assets,-2117365000.0,-2189821000.0,-2244004000.0,-2277718000.0
Net Receivables,466096000.0,429804000.0,558569000.0,506849000.0
Long Term Debt,3364789000.0,3365783000.0,3366777000.0,3369469000.0
Accounts Payable,6996000.0,4718000.0,14253000.0,7259000.0
