,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Investments,-27000000.0,-101000000.0,-16000000.0,25000000.0,67000000.0
Change To Liabilities,0.0,0.0,88000000.0,-10000000.0,197000000.0
Total Cash From Financing Activities,1105000000.0,-249000000.0,-819000000.0,-95000000.0,2000000.0
Change To Operating Activities,-316000000.0,-316000000.0,-316000000.0,-112000000.0,65000000.0
Issuance Of Stock,981000000.0,59000000.0,4000000.0,18000000.0,20000000.0
Net Income,-147000000.0,-155000000.0,210000000.0,341000000.0,186000000.0
Change In Cash,1316000000.0,266000000.0,-287000000.0,258000000.0,645000000.0
Effect Of Exchange Rate,1000000.0,1000000.0,6000000.0,-3000000.0,1000000.0
Total Cash From Operating Activities,269000000.0,643000000.0,673000000.0,284000000.0,643000000.0
Depreciation,275000000.0,281000000.0,290000000.0,268000000.0,263000000.0
Other Cashflows From Investing Activities,1000000.0,-2000000.0,1000000.0,15000000.0,15000000.0
Dividends Paid,-14000000.0,-14000000.0,-14000000.0,-14000000.0,-14000000.0
Change To Inventory,-65000000.0,-65000000.0,-65000000.0,-115000000.0,15000000.0
Change To Account Receivables,335000000.0,335000000.0,335000000.0,-117000000.0,-28000000.0
Other Cashflows From Financing Activities,-16000000.0,-44000000.0,-14000000.0,-99000000.0,-4000000.0
Change To Netincome,142000000.0,517000000.0,131000000.0,29000000.0,-55000000.0
Capital Expenditures,-68000000.0,-49000000.0,-159000000.0,-75000000.0,-106000000.0
Total Cashflows From Investing Activities,-59000000.0,-129000000.0,-147000000.0,71000000.0,
Net Borrowings,-835000000.0,-250000000.0,-260000000.0,,
Repurchase Of Stock,-535000000.0,-535000000.0,-535000000.0,,
