,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31
Investments,18000000.0,-715000000.0,-2074000000.0,-861000000.0,374000000.0
Change To Liabilities,221000000.0,-85000000.0,-80000000.0,539000000.0,952000000.0
Total Cashflows From Investing Activities,-270000000.0,-889000000.0,-1988000000.0,-1110000000.0,187000000.0
Net Borrowings,6183000000.0,-113000000.0,-97000000.0,-37000000.0,-2000000.0
Total Cash From Financing Activities,5801000000.0,-248000000.0,-44000000.0,-320000000.0,-847000000.0
Change To Operating Activities,-160000000.0,-338000000.0,175000000.0,-243000000.0,224000000.0
Issuance Of Stock,207000000.0,302000000.0,479000000.0,188000000.0,203000000.0
Net Income,-790000000.0,1518000000.0,1251000000.0,1449000000.0,1509000000.0
Change In Cash,5485000000.0,-200000000.0,487000000.0,-119000000.0,1373000000.0
Effect Of Exchange Rate,-45000000.0,55000000.0,46000000.0,21000000.0,21000000.0
Total Cash From Operating Activities,-1000000.0,882000000.0,2473000000.0,1290000000.0,2012000000.0
Depreciation,223000000.0,217000000.0,247000000.0,112000000.0,221000000.0
Other Cashflows From Investing Activities,1000000.0,2000000.0,254000000.0,-72000000.0,-13000000.0
Dividends Paid,-381000000.0,-384000000.0,-385000000.0,-434000000.0,-435000000.0
Change To Inventory,-1399000000.0,689000000.0,632000000.0,-647000000.0,-167000000.0
Change To Account Receivables,1714000000.0,-990000000.0,69000000.0,84000000.0,-769000000.0
Other Cashflows From Financing Activities,-6000000.0,-53000000.0,-41000000.0,-37000000.0,-5000000.0
Change To Netincome,190000000.0,-129000000.0,179000000.0,-4000000.0,42000000.0
Capital Expenditures,-289000000.0,-176000000.0,-168000000.0,-177000000.0,-174000000.0
Repurchase Of Stock,-202000000.0,,,,-608000000.0
