,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,40770000.0,40570000.0,,
Capital Surplus,5881383000.0,5781975000.0,4920732000.0,4651205000.0
Total Liab,5522648000.0,5228493000.0,3816211000.0,3949771000.0
Total Stockholder Equity,3189435000.0,3312341000.0,2859424000.0,2779599000.0
Minority Interest,880685000.0,1049437000.0,989892000.0,957702000.0
Other Current Liab,115795000.0,109382000.0,97666000.0,91455000.0
Total Assets,9637533000.0,9636472000.0,7711728000.0,7733273000.0
Common Stock,2966000.0,2946000.0,2755000.0,2678000.0
Other Current Assets,22762000.0,25185000.0,23675000.0,19792000.0
Other Liab,52208000.0,49953000.0,35060000.0,31916000.0
Treasury Stock,-2694914000.0,-2472580000.0,-2064063000.0,-1874284000.0
Other Assets,358694000.0,215516000.0,132953000.0,227829000.0
Cash,1409000.0,8106000.0,185216000.0,2038000.0
Total Current Liabilities,501839000.0,572458000.0,334464000.0,546192000.0
Short Long Term Debt,1264000.0,142000.0,356000.0,33670000.0
Other Stockholder Equity,-2694914000.0,-2472580000.0,-2064063000.0,-1874284000.0
Property Plant Equipment,8455671000.0,8605177000.0,6541999000.0,6737572000.0
Total Current Assets,182165000.0,186947000.0,255907000.0,47042000.0
Long Term Investments,600233000.0,588262000.0,780869000.0,720830000.0
Net Tangible Assets,3148665000.0,3271771000.0,2859424000.0,2779599000.0
Net Receivables,157992000.0,153650000.0,42259000.0,19469000.0
Long Term Debt,4785451000.0,4407524000.0,3446687000.0,3371663000.0
Accounts Payable,107632000.0,88290000.0,75987000.0,102956000.0
