,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-3400000.0,-68000000.0,143700000.0,-129000000.0
Change To Liabilities,8500000.0,34600000.0,-27600000.0,8100000.0
Total Cashflows From Investing Activities,-13300000.0,-325900000.0,87000000.0,-140600000.0
Net Borrowings,-20000000.0,268700000.0,70000000.0,70000000.0
Total Cash From Financing Activities,-119500000.0,130900000.0,-17700000.0,-139200000.0
Change To Operating Activities,375500000.0,147100000.0,554300000.0,109800000.0
Net Income,137200000.0,87300000.0,109900000.0,113600000.0
Change In Cash,465800000.0,72900000.0,774500000.0,44900000.0
Repurchase Of Stock,-53300000.0,-88000000.0,-41900000.0,-100000000.0
Effect Of Exchange Rate,-500000.0,-1500000.0,4100000.0,-300000.0
Total Cash From Operating Activities,599100000.0,269400000.0,701100000.0,325000000.0
Depreciation,40300000.0,38800000.0,37800000.0,36300000.0
Dividends Paid,-45300000.0,-45300000.0,-45800000.0,-39500000.0
Change To Account Receivables,-37600000.0,-46700000.0,100900000.0,19900000.0
Other Cashflows From Financing Activities,-900000.0,-4500000.0,-4500000.0,100000.0
Change To Netincome,7100000.0,-6900000.0,-15700000.0,5000000.0
Capital Expenditures,-9900000.0,-10200000.0,-20000000.0,-6600000.0
Other Cashflows From Investing Activities,,500000.0,500000.0,500000.0
Issuance Of Stock,,,,200000.0
