,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Change To Liabilities,62000000.0,84000000.0,107000000.0,22000000.0,-31000000.0
Total Cashflows From Investing Activities,-154000000.0,-157000000.0,-264000000.0,-538000000.0,-188000000.0
Net Borrowings,-225000000.0,-1000000.0,-536000000.0,51000000.0,51000000.0
Total Cash From Financing Activities,-261000000.0,-111000000.0,-1143000000.0,-358000000.0,-349000000.0
Change To Operating Activities,-74000000.0,-54000000.0,51000000.0,-121000000.0,57000000.0
Issuance Of Stock,85000000.0,29000000.0,22000000.0,48000000.0,45000000.0
Net Income,246000000.0,356000000.0,168000000.0,298000000.0,298000000.0
Change In Cash,-16000000.0,272000000.0,-630000000.0,-550000000.0,-46000000.0
Repurchase Of Stock,-500000000.0,-500000000.0,-500000000.0,-253000000.0,-312000000.0
Effect Of Exchange Rate,25000000.0,30000000.0,65000000.0,-31000000.0,14000000.0
Total Cash From Operating Activities,374000000.0,510000000.0,712000000.0,377000000.0,477000000.0
Depreciation,202000000.0,209000000.0,213000000.0,217000000.0,222000000.0
Other Cashflows From Investing Activities,12000000.0,12000000.0,1000000.0,14000000.0,6000000.0
Dividends Paid,-112000000.0,-125000000.0,-125000000.0,-125000000.0,-124000000.0
Change To Inventory,-178000000.0,-44000000.0,143000000.0,-129000000.0,-26000000.0
Change To Account Receivables,35000000.0,-101000000.0,51000000.0,51000000.0,-93000000.0
Other Cashflows From Financing Activities,-9000000.0,-14000000.0,-4000000.0,-28000000.0,-9000000.0
Change To Netincome,81000000.0,60000000.0,30000000.0,39000000.0,50000000.0
Capital Expenditures,-144000000.0,-156000000.0,-237000000.0,-171000000.0,-158000000.0
