,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Capital Surplus,6679000000.0,6694000000.0,7404000000.0,7411000000.0
Total Liab,40071000000.0,39931000000.0,39382000000.0,41811000000.0
Total Stockholder Equity,13385000000.0,13777000000.0,14575000000.0,14700000000.0
Deferred Long Term Liab,2973000000.0,2918000000.0,2737000000.0,3552000000.0
Other Current Liab,1425000000.0,1496000000.0,1576000000.0,1754000000.0
Total Assets,53456000000.0,53708000000.0,53957000000.0,56511000000.0
Common Stock,1313000000.0,1314000000.0,1344000000.0,1345000000.0
Other Current Assets,567000000.0,626000000.0,671000000.0,947000000.0
Retained Earnings,5538000000.0,5912000000.0,5968000000.0,6082000000.0
Other Liab,14010000000.0,14183000000.0,14081000000.0,14177000000.0
Treasury Stock,-145000000.0,-143000000.0,-141000000.0,-138000000.0
Other Assets,6800000000.0,6179000000.0,6316000000.0,7258000000.0
Cash,1625000000.0,885000000.0,129000000.0,1039000000.0
Total Current Liabilities,5473000000.0,4393000000.0,4239000000.0,4877000000.0
Short Long Term Debt,1101000000.0,401000000.0,421000000.0,21000000.0
Other Stockholder Equity,-145000000.0,-143000000.0,-141000000.0,-138000000.0
Property Plant Equipment,42029000000.0,43461000000.0,44129000000.0,44664000000.0
Total Current Assets,4390000000.0,3837000000.0,3275000000.0,4315000000.0
Long Term Investments,237000000.0,231000000.0,237000000.0,274000000.0
Net Tangible Assets,13385000000.0,13777000000.0,14575000000.0,14700000000.0
Net Receivables,1412000000.0,1485000000.0,1630000000.0,1550000000.0
Long Term Debt,19463000000.0,19960000000.0,19645000000.0,21470000000.0
Inventory,487000000.0,512000000.0,535000000.0,469000000.0
Accounts Payable,1188000000.0,1602000000.0,1237000000.0,1213000000.0
