,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,568000000.0,606000000.0,1616000000.0,893000000.0,902000000.0,978000000.0,1893000000.0
Capital Surplus,18908000000.0,18922000000.0,18940000000.0,18945000000.0,18964000000.0,18981000000.0,19005000000.0
Total Liab,157456000000.0,156759000000.0,160676000000.0,164564000000.0,161905000000.0,163584000000.0,164989000000.0
Total Stockholder Equity,20453000000.0,20504000000.0,20708000000.0,20688000000.0,21185000000.0,21409000000.0,21406000000.0
Total Assets,179874000000.0,179228000000.0,183349000000.0,187217000000.0,185104000000.0,187007000000.0,188409000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,5581000000.0,4241000000.0,16203000000.0,4879000000.0,4219000000.0,3787000000.0,3974000000.0
Retained Earnings,6068000000.0,6189000000.0,6445000000.0,6866000000.0,7314000000.0,7648000000.0,7978000000.0
Other Liab,4028000000.0,4377000000.0,3960000000.0,4718000000.0,4106000000.0,4221000000.0,2625000000.0
Good Will,7050000000.0,7050000000.0,7050000000.0,7050000000.0,7050000000.0,7065000000.0,7116000000.0
Treasury Stock,-4529000000.0,-4613000000.0,-4683000000.0,-5129000000.0,-5099000000.0,-5226000000.0,-5583000000.0
Other Assets,128920000000.0,127510000000.0,125396000000.0,127689000000.0,127833000000.0,128928000000.0,132486000000.0
Cash,7446000000.0,9216000000.0,1037000000.0,14660000000.0,12641000000.0,13716000000.0,9158000000.0
Total Current Liabilities,144979000000.0,145378000000.0,149037000000.0,152880000000.0,152607000000.0,154343000000.0,155053000000.0
Short Long Term Debt,753000000.0,2105000000.0,1353000000.0,1350000000.0,1765000000.0,1927000000.0,264000000.0
Other Stockholder Equity,94000000.0,10000000.0,-60000000.0,-411000000.0,-381000000.0,-508000000.0,-665000000.0
Property Plant Equipment,751000000.0,747000000.0,1559000000.0,743000000.0,735000000.0,732000000.0,1534000000.0
Total Current Assets,15622000000.0,15815000000.0,19461000000.0,21145000000.0,18916000000.0,19561000000.0,14664000000.0
Long Term Investments,26963000000.0,27500000000.0,28267000000.0,29697000000.0,29668000000.0,29743000000.0,30716000000.0
Net Tangible Assets,13403000000.0,13454000000.0,12700000000.0,13638000000.0,14135000000.0,14344000000.0,13426000000.0
Short Term Investments,475000000.0,328000000.0,306000000.0,308000000.0,401000000.0,289000000.0,316000000.0
Long Term Debt,8449000000.0,7004000000.0,6993000000.0,6966000000.0,5192000000.0,5020000000.0,6668000000.0
Accounts Payable,143618000000.0,142921000000.0,147164000000.0,151349000000.0,150636000000.0,152221000000.0,154361000000.0
Inventory,,,,18000000.0,,,
Net Receivables,51000000.0,,,,,,
