,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25
Investments,252966000.0,-114492000.0,-32454000.0,-50560000.0,16137000.0,-72048000.0
Change To Liabilities,-20835000.0,37677000.0,9323000.0,-11468000.0,48295000.0,13861000.0
Total Cashflows From Investing Activities,193810000.0,-294269000.0,-81193000.0,-104107000.0,-93913000.0,-113686000.0
Total Cash From Financing Activities,-93980000.0,-117716000.0,-129913000.0,-116279000.0,-99452000.0,-128774000.0
Change To Operating Activities,37803000.0,25809000.0,101507000.0,-105742000.0,44949000.0,-2999000.0
Net Income,184180000.0,313417000.0,333548000.0,220029000.0,316997000.0,259039000.0
Change In Cash,306320000.0,-131398000.0,234939000.0,141488000.0,39984000.0,-390000.0
Repurchase Of Stock,-303000.0,-1191000.0,-13257000.0,-17281000.0,-323000.0,-32000.0
Effect Of Exchange Rate,7253000.0,6249000.0,10227000.0,-6488000.0,3669000.0,-3353000.0
Total Cash From Operating Activities,199237000.0,274338000.0,435818000.0,368362000.0,229680000.0,245423000.0
Depreciation,29328000.0,32578000.0,36605000.0,36890000.0,37789000.0,39078000.0
Dividends Paid,-108879000.0,-116525000.0,-116656000.0,-116655000.0,-117205000.0,-128742000.0
Change To Inventory,-9808000.0,1063000.0,84789000.0,-87450000.0,-89743000.0,-180194000.0
Change To Account Receivables,-19037000.0,-118646000.0,-168333000.0,281524000.0,-177596000.0,93096000.0
Change To Netincome,5621000.0,22825000.0,5631000.0,30627000.0,32272000.0,38238000.0
Capital Expenditures,-56909000.0,-38802000.0,-48329000.0,-36894000.0,-109648000.0,-41418000.0
Issuance Of Stock,15202000.0,17657000.0,17657000.0,17657000.0,18076000.0,
