,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,158432000.0,94525000.0,168466000.0,173507000.0
Capital Surplus,3274154000.0,3261412000.0,3256938000.0,3252568000.0
Total Liab,4760467000.0,5635509000.0,5125007000.0,5106817000.0
Total Stockholder Equity,6685274000.0,6569989000.0,6240015000.0,5851668000.0
Other Current Liab,295000.0,88681000.0,18029000.0,150353000.0
Total Assets,11445741000.0,12205498000.0,11365022000.0,10958485000.0
Common Stock,2636000.0,2665000.0,2682000.0,2682000.0
Other Current Assets,399798000.0,342563000.0,337955000.0,341096000.0
Retained Earnings,3408604000.0,3306057000.0,2980565000.0,2596613000.0
Other Liab,700518000.0,868593000.0,403646000.0,335040000.0
Treasury Stock,-120000.0,-145000.0,-170000.0,-195000.0
Other Assets,566737000.0,149292000.0,491834000.0,514175000.0
Cash,1579586000.0,2582205000.0,2067276000.0,1658530000.0
Total Current Liabilities,1955650000.0,1944403000.0,1853624000.0,1913649000.0
Deferred Long Term Asset Charges,132204000.0,136267000.0,80833000.0,120768000.0
Short Long Term Debt,258000.0,684000.0,2817000.0,3616000.0
Other Stockholder Equity,-120000.0,-145000.0,-170000.0,-195000.0
Property Plant Equipment,69000000.0,203017000.0,73500000.0,76700000.0
Total Current Assets,10612014000.0,11654202000.0,10589500000.0,10146396000.0
Long Term Investments,39558000.0,35562000.0,41722000.0,47707000.0
Net Tangible Assets,6526842000.0,6406564000.0,6071549000.0,5678161000.0
Net Receivables,73800000.0,270044000.0,82000000.0,82400000.0
Long Term Debt,2031937000.0,2752302000.0,2778970000.0,2770618000.0
Inventory,8007007000.0,7749760000.0,7642338000.0,7614148000.0
Accounts Payable,404564000.0,426816000.0,342277000.0,295249000.0
Good Will,,68900000.0,,
