,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31
Investments,-46000000.0,-574000000.0,546000000.0,-90000000.0,57000000.0
Change To Liabilities,2159000000.0,2481000000.0,-2148000000.0,-630000000.0,572000000.0
Total Cashflows From Investing Activities,-204000000.0,-770000000.0,365000000.0,-253000000.0,-105000000.0
Net Borrowings,-1257000000.0,638000000.0,-655000000.0,-10000000.0,-10000000.0
Total Cash From Financing Activities,-1381000000.0,502000000.0,-1046000000.0,-1089000000.0,-573000000.0
Change To Operating Activities,307000000.0,300000000.0,149000000.0,-310000000.0,219000000.0
Issuance Of Stock,22000000.0,6000000.0,22000000.0,22000000.0,22000000.0
Net Income,432000000.0,391000000.0,816000000.0,595000000.0,734000000.0
Change In Cash,1388000000.0,-151000000.0,354000000.0,-1232000000.0,81000000.0
Repurchase Of Stock,-250000000.0,-250000000.0,-250000000.0,-927000000.0,-396000000.0
Total Cash From Operating Activities,2961000000.0,119000000.0,1020000000.0,105000000.0,759000000.0
Depreciation,207000000.0,214000000.0,211000000.0,216000000.0,214000000.0
Dividends Paid,-143000000.0,-142000000.0,-142000000.0,-175000000.0,-175000000.0
Change To Inventory,-122000000.0,-3314000000.0,1865000000.0,-90000000.0,-704000000.0
Change To Account Receivables,-151000000.0,-126000000.0,-33000000.0,210000000.0,-35000000.0
Other Cashflows From Financing Activities,-3000000.0,1000000.0,1000000.0,13000000.0,-14000000.0
Change To Netincome,52000000.0,160000000.0,108000000.0,1000000.0,34000000.0
Capital Expenditures,-162000000.0,-194000000.0,-179000000.0,-161000000.0,-162000000.0
Effect Of Exchange Rate,12000000.0,-2000000.0,15000000.0,5000000.0,
Other Cashflows From Investing Activities,4000000.0,-2000000.0,-2000000.0,-2000000.0,
