,2021-05-01,2021-01-30,2020-10-31,2020-08-01
Intangible Assets,281000000.0,301000000.0,321000000.0,341000000.0
Capital Surplus,33000000.0,,133000000.0,83000000.0
Total Liab,13547000000.0,14480000000.0,17116000000.0,13634000000.0
Total Stockholder Equity,4158000000.0,4587000000.0,4086000000.0,3778000000.0
Other Current Liab,1110000000.0,1099000000.0,1137000000.0,1030000000.0
Total Assets,17705000000.0,19067000000.0,21202000000.0,17412000000.0
Common Stock,25000000.0,26000000.0,26000000.0,26000000.0
Other Current Assets,294000000.0,308000000.0,247000000.0,210000000.0
Retained Earnings,3762000000.0,4233000000.0,3659000000.0,3413000000.0
Other Liab,694000000.0,694000000.0,798000000.0,716000000.0
Good Will,986000000.0,986000000.0,986000000.0,986000000.0
Treasury Stock,338000000.0,328000000.0,268000000.0,256000000.0
Other Assets,309000000.0,277000000.0,292000000.0,240000000.0
Cash,4278000000.0,5494000000.0,5136000000.0,5305000000.0
Total Current Liabilities,9641000000.0,10521000000.0,12945000000.0,10080000000.0
Other Stockholder Equity,338000000.0,328000000.0,268000000.0,256000000.0
Property Plant Equipment,4796000000.0,4872000000.0,4957000000.0,5047000000.0
Total Current Assets,11268000000.0,12540000000.0,14551000000.0,10683000000.0
Long Term Investments,65000000.0,91000000.0,95000000.0,115000000.0
Net Tangible Assets,2891000000.0,3300000000.0,2779000000.0,2451000000.0
Short Term Investments,125000000.0,65000000.0,674000000.0,108000000.0
Net Receivables,850000000.0,1061000000.0,1028000000.0,906000000.0
Long Term Debt,1203000000.0,1229000000.0,1219000000.0,597000000.0
Inventory,5721000000.0,5612000000.0,7459000000.0,4136000000.0
Accounts Payable,6360000000.0,6979000000.0,9110000000.0,6613000000.0
Deferred Long Term Asset Charges,,17000000.0,,
Short Long Term Debt,,,670000000.0,681000000.0
