,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-1150000.0,-1150000.0,-5000000.0,-5000000.0
Change To Liabilities,-4918000.0,16130000.0,8177000.0,27386000.0
Total Cashflows From Investing Activities,-197906000.0,-190635000.0,-291826000.0,-141586000.0
Net Borrowings,-33000.0,-33000.0,-50000000.0,49800000.0
Total Cash From Financing Activities,-192909000.0,-178305000.0,-203641000.0,-171281000.0
Change To Operating Activities,-6039000.0,-30276000.0,-75572000.0,-36958000.0
Issuance Of Stock,9833000.0,9277000.0,7699000.0,6246000.0
Net Income,296668000.0,271885000.0,365034000.0,229561000.0
Change In Cash,119717000.0,62188000.0,-83325000.0,44455000.0
Repurchase Of Stock,-75288000.0,-68837000.0,-56319000.0,-135620000.0
Total Cash From Operating Activities,510532000.0,431128000.0,412142000.0,357322000.0
Depreciation,79345000.0,78028000.0,79127000.0,78906000.0
Dividends Paid,-127421000.0,-118745000.0,-105021000.0,-91707000.0
Change To Account Receivables,10540000.0,-11777000.0,21489000.0,-33096000.0
Change To Netincome,46199000.0,20354000.0,-64080000.0,37087000.0
Capital Expenditures,-53538000.0,-53598000.0,-40135000.0,-41947000.0
