,2020-07-03,2019-06-28,2018-06-29,2017-06-30
Investments,-51000000.0,1275000000.0,-1285000000.0,-31000000.0
Change To Liabilities,394000000.0,-268000000.0,65000000.0,121000000.0
Total Cashflows From Investing Activities,-635000000.0,846000000.0,-1588000000.0,-459000000.0
Net Borrowings,-143000000.0,-574000000.0,-214000000.0,916000000.0
Total Cash From Financing Activities,-1605000000.0,-2212000000.0,-1211000000.0,-46000000.0
Change To Operating Activities,17000000.0,-120000000.0,29000000.0,57000000.0
Issuance Of Stock,103000000.0,69000000.0,113000000.0,86000000.0
Net Income,1004000000.0,2012000000.0,1182000000.0,772000000.0
Change In Cash,-527000000.0,394000000.0,-686000000.0,1411000000.0
Repurchase Of Stock,-890000000.0,-994000000.0,-384000000.0,-487000000.0
Effect Of Exchange Rate,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Total Cash From Operating Activities,1714000000.0,1761000000.0,2113000000.0,1916000000.0
Depreciation,379000000.0,541000000.0,598000000.0,749000000.0
Dividends Paid,-673000000.0,-713000000.0,-726000000.0,-561000000.0
Change To Inventory,-166000000.0,80000000.0,-71000000.0,-114000000.0
Change To Account Receivables,-127000000.0,204000000.0,16000000.0,122000000.0
Other Cashflows From Financing Activities,-2000000.0,-2000000.0,-2000000.0,-2000000.0
Change To Netincome,213000000.0,-688000000.0,294000000.0,209000000.0
Capital Expenditures,-585000000.0,-602000000.0,-366000000.0,-434000000.0
Other Cashflows From Investing Activities,,29000000.0,-8000000.0,6000000.0
