,2021-04-02,2021-01-01,2020-10-02,2020-07-03
Investments,8000000.0,13000000.0,18000000.0,29000000.0
Change To Liabilities,76000000.0,47000000.0,8000000.0,-57000000.0
Total Cashflows From Investing Activities,-233000000.0,7000000.0,134000000.0,23000000.0
Net Borrowings,-12000000.0,-12000000.0,-12000000.0,-1179000000.0
Total Cash From Financing Activities,-245000000.0,-267000000.0,-86000000.0,-1305000000.0
Change To Operating Activities,46000000.0,41000000.0,-38000000.0,6000000.0
Issuance Of Stock,8000000.0,6000000.0,8000000.0,2000000.0
Net Income,194000000.0,178000000.0,64000000.0,118000000.0
Change In Cash,-113000000.0,37000000.0,-64000000.0,-1104000000.0
Repurchase Of Stock,-167000000.0,-160000000.0,-12000000.0,-23000000.0
Effect Of Exchange Rate,9000000.0,4000000.0,1000000.0,8000000.0
Total Cash From Operating Activities,356000000.0,293000000.0,-113000000.0,170000000.0
Depreciation,26000000.0,22000000.0,32000000.0,39000000.0
Other Cashflows From Investing Activities,4000000.0,-4000000.0,-4000000.0,-5000000.0
Dividends Paid,-73000000.0,-113000000.0,-82000000.0,-105000000.0
Change To Account Receivables,2000000.0,-12000000.0,8000000.0,5000000.0
Other Cashflows From Financing Activities,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Change To Netincome,-48000000.0,60000000.0,17000000.0,140000000.0
Capital Expenditures,-1000000.0,-2000000.0,-2000000.0,-1000000.0
