,2020-06-28,2020-09-27,2020-12-31,2021-04-04
Investments,-15000000.0,-15000000.0,-12000000.0,6000000.0
Change To Liabilities,-160000000.0,82000000.0,333000000.0,51000000.0
Total Cashflows From Investing Activities,-113000000.0,-105000000.0,-163000000.0,-181000000.0
Total Cash From Financing Activities,1885000000.0,-124000000.0,-2165000000.0,-979000000.0
Change To Operating Activities,-11000000.0,-9000000.0,23000000.0,-8000000.0
Issuance Of Stock,8000000.0,27000000.0,8000000.0,31000000.0
Net Income,-214000000.0,-22000000.0,309000000.0,353000000.0
Change In Cash,2187000000.0,300000000.0,-1291000000.0,-433000000.0
Repurchase Of Stock,-3000000.0,-12000000.0,-257000000.0,-905000000.0
Effect Of Exchange Rate,1000000.0,2000000.0,8000000.0,-5000000.0
Total Cash From Operating Activities,414000000.0,527000000.0,1029000000.0,732000000.0
Depreciation,542000000.0,552000000.0,314000000.0,303000000.0
Dividends Paid,-105000000.0,-105000000.0,-105000000.0,-105000000.0
Change To Inventory,164000000.0,164000000.0,34000000.0,-26000000.0
Change To Account Receivables,224000000.0,-252000000.0,-50000000.0,-95000000.0
Change To Netincome,29000000.0,8000000.0,62000000.0,150000000.0
Capital Expenditures,-75000000.0,-70000000.0,-104000000.0,-150000000.0
Net Borrowings,2000000000.0,-1809000000.0,-1809000000.0,
Other Cashflows From Financing Activities,-15000000.0,-34000000.0,-2000000.0,
