,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,-33500000.0,134800000.0,17000000.0,191900000.0
Total Cashflows From Investing Activities,-74500000.0,-58700000.0,-22300000.0,236300000.0
Net Borrowings,-555900000.0,400000.0,154100000.0,-1063900000.0
Total Cash From Financing Activities,-584300000.0,-145700000.0,149100000.0,-1099800000.0
Change To Operating Activities,-30400000.0,131600000.0,-130200000.0,-354600000.0
Net Income,39400000.0,185700000.0,-915800000.0,-1037600000.0
Change In Cash,-263200000.0,342400000.0,182900000.0,-36900000.0
Repurchase Of Stock,-2100000.0,-800000.0,-800000.0,-7800000.0
Effect Of Exchange Rate,16100000.0,21800000.0,19800000.0,-22200000.0
Total Cash From Operating Activities,379500000.0,525000000.0,36200000.0,848800000.0
Depreciation,415700000.0,432300000.0,632500000.0,1422500000.0
Change To Inventory,-144000000.0,-256600000.0,-209500000.0,-203400000.0
Change To Account Receivables,49000000.0,-149900000.0,106000000.0,-59800000.0
Other Cashflows From Financing Activities,-26300000.0,-146100000.0,-4200000.0,-28100000.0
Change To Netincome,44800000.0,-18800000.0,647800000.0,395200000.0
Capital Expenditures,-44500000.0,-38200000.0,-116900000.0,-49500000.0
Investments,-21600000.0,-400000.0,-300000.0,
