,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03
Investments,-186000000.0,-14000000.0,28000000.0,1366000000.0,127000000.0,-32000000.0,70000000.0,-13000000.0,-9000000.0
Change To Liabilities,3000000.0,11000000.0,42000000.0,-8000000.0,20000000.0,-40000000.0,88000000.0,-39000000.0,-13000000.0
Total Cashflows From Investing Activities,-320000000.0,-65000000.0,-34000000.0,1376000000.0,3000000.0,-2448000000.0,-74000000.0,-74000000.0,-165000000.0
Total Cash From Financing Activities,-143000000.0,-101000000.0,-331000000.0,968000000.0,-496000000.0,-394000000.0,-129000000.0,21000000.0,-5000000.0
Change To Operating Activities,67000000.0,-43000000.0,37000000.0,101000000.0,51000000.0,-139000000.0,-3000000.0,-23000000.0,500000000.0
Net Income,47000000.0,179000000.0,257000000.0,147000000.0,185000000.0,317000000.0,112000000.0,86000000.0,-535000000.0
Change In Cash,-221000000.0,-9000000.0,49000000.0,2623000000.0,-237000000.0,-3116000000.0,152000000.0,119000000.0,-62000000.0
Repurchase Of Stock,-145000000.0,-128000000.0,-331000000.0,-24000000.0,-6000000.0,-422000000.0,-59000000.0,-12000000.0,-5000000.0
Effect Of Exchange Rate,2000000.0,4000000.0,8000000.0,-3000000.0,3000000.0,-2000000.0,-1000000.0,-17000000.0,-17000000.0
Total Cash From Operating Activities,240000000.0,153000000.0,406000000.0,282000000.0,253000000.0,-272000000.0,282000000.0,172000000.0,125000000.0
Depreciation,46000000.0,47000000.0,50000000.0,48000000.0,49000000.0,65000000.0,89000000.0,91000000.0,94000000.0
Change To Inventory,-51000000.0,19000000.0,44000000.0,8000000.0,-17000000.0,-18000000.0,-31000000.0,-34000000.0,-52000000.0
Change To Account Receivables,91000000.0,-82000000.0,-19000000.0,-39000000.0,-22000000.0,-64000000.0,-39000000.0,31000000.0,-30000000.0
Change To Netincome,28000000.0,12000000.0,-16000000.0,15000000.0,-23000000.0,-400000000.0,60000000.0,60000000.0,160000000.0
Capital Expenditures,-39000000.0,-48000000.0,-62000000.0,-42000000.0,-44000000.0,-52000000.0,-70000000.0,-61000000.0,-71000000.0
Issuance Of Stock,2000000.0,27000000.0,31000000.0,31000000.0,28000000.0,28000000.0,1000000.0,33000000.0,
Other Cashflows From Financing Activities,,,,-71000000.0,-71000000.0,-71000000.0,-71000000.0,,
Net Borrowings,961000000.0,961000000.0,961000000.0,961000000.0,-490000000.0,,,,
Other Cashflows From Investing Activities,52000000.0,52000000.0,52000000.0,52000000.0,,,,,
