,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,-12363000.0,141470000.0,-6167000.0,177541000.0,-34043000.0,25197000.0
Total Cashflows From Investing Activities,-11626000.0,90188000.0,-34252000.0,-12332000.0,-31014000.0,-12949000.0
Net Borrowings,34302000.0,34302000.0,34302000.0,34302000.0,-33256000.0,-1046000.0
Total Cash From Financing Activities,-34173000.0,-33376000.0,-27741000.0,-18850000.0,-73915000.0,-26849000.0
Change To Operating Activities,13534000.0,4292000.0,7783000.0,-32866000.0,1462000.0,10871000.0
Issuance Of Stock,659000.0,9000.0,3259000.0,244000.0,4421000.0,2283000.0
Net Income,83854000.0,67776000.0,72931000.0,80457000.0,67288000.0,57958000.0
Change In Cash,58736000.0,12568000.0,170749000.0,-55368000.0,-7439000.0,18558000.0
Repurchase Of Stock,-12408000.0,-10949000.0,-8538000.0,-27942000.0,-20296000.0,-3325000.0
Effect Of Exchange Rate,-318000.0,4109000.0,5122000.0,-1027000.0,764000.0,-4457000.0
Total Cash From Operating Activities,104853000.0,-48353000.0,227620000.0,-23159000.0,96726000.0,62813000.0
Depreciation,9985000.0,10853000.0,7288000.0,13443000.0,14801000.0,15651000.0
Dividends Paid,-22424000.0,-22436000.0,-22462000.0,-25454000.0,-24784000.0,-24761000.0
Change To Account Receivables,-5817000.0,-286798000.0,123369000.0,-278371000.0,59503000.0,-57419000.0
Change To Netincome,7961000.0,8893000.0,6861000.0,7941000.0,7041000.0,8322000.0
Capital Expenditures,-4973000.0,-3758000.0,-1988000.0,-4257000.0,-5552000.0,-4758000.0
Investments,-428000.0,102061000.0,,,,
