,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,33016000000.0,8186000000.0,-2264000000.0,-1333000000.0,-10012000000.0,1776000000.0
Change To Liabilities,90000000.0,-289000000.0,-1667000000.0,299000000.0,-299000000.0,0.0
Total Cashflows From Investing Activities,103687000000.0,42658000000.0,20512000000.0,15528000000.0,15276000000.0,-7021000000.0
Net Borrowings,-40046000000.0,-21601000000.0,-186000000.0,-21645000000.0,-20404000000.0,-18566000000.0
Total Cash From Financing Activities,-8112000000.0,-49815000000.0,20095000000.0,10063000000.0,-19774000000.0,4345000000.0
Change To Operating Activities,1050000000.0,-4244000000.0,2599000000.0,7171000000.0,2513000000.0,9669000000.0
Issuance Of Stock,245000000.0,59000000.0,58000000.0,66000000.0,48000000.0,100000000.0
Net Income,-2379000000.0,2035000000.0,2992000000.0,4636000000.0,6040000000.0,5122000000.0
Change In Cash,111694000000.0,-15733000000.0,17842000000.0,22121000000.0,-12560000000.0,-7486000000.0
Repurchase Of Stock,-16000000.0,-9000000.0,-17000000.0,-818000000.0,-1593000000.0,-5318000000.0
Total Cash From Operating Activities,16119000000.0,-8576000000.0,-22765000000.0,-3470000000.0,-8062000000.0,-4810000000.0
Depreciation,2194000000.0,2345000000.0,2292000000.0,2237000000.0,1936000000.0,1958000000.0
Other Cashflows From Investing Activities,7307000000.0,10007000000.0,3672000000.0,-13690000000.0,10641000000.0,2634000000.0
Dividends Paid,-2397000000.0,-655000000.0,-778000000.0,-659000000.0,-765000000.0,-1046000000.0
Other Cashflows From Financing Activities,34102000000.0,-27609000000.0,21002000000.0,33115000000.0,3290000000.0,29748000000.0
Change To Netincome,1650000000.0,-31935000000.0,-13557000000.0,-28119000000.0,-14178000000.0,-18326000000.0
