,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,0.0,-8300000.0,44100000.0,-44600000.0,78100000.0,38000000.0
Total Cashflows From Investing Activities,-173800000.0,-173800000.0,-61800000.0,-192400000.0,-155400000.0,-290700000.0
Net Borrowings,-549000000.0,-549000000.0,-231000000.0,5800000.0,-6800000.0,-752100000.0
Total Cash From Financing Activities,-690300000.0,-690300000.0,-370500000.0,-183100000.0,-135200000.0,-841000000.0
Change To Operating Activities,-72400000.0,-72400000.0,24300000.0,-103600000.0,-21300000.0,71200000.0
Issuance Of Stock,11000000.0,11000000.0,41800000.0,20100000.0,20300000.0,53900000.0
Net Income,-2035000000.0,246200000.0,300300000.0,193600000.0,310800000.0,324500000.0
Change In Cash,-401900000.0,-401900000.0,225500000.0,-70700000.0,212900000.0,-504500000.0
Repurchase Of Stock,-19900000.0,-19900000.0,-21600000.0,-61800000.0,-8800000.0,-7200000.0
Effect Of Exchange Rate,10400000.0,10400000.0,8000000.0,9500000.0,500000.0,4500000.0
Total Cash From Operating Activities,451800000.0,451800000.0,649800000.0,295300000.0,503000000.0,622700000.0
Depreciation,209000000.0,209000000.0,207500000.0,215200000.0,205400000.0,206900000.0
Other Cashflows From Investing Activities,-62700000.0,-62700000.0,1300000.0,-2400000.0,-10300000.0,-4400000.0
Dividends Paid,-150300000.0,-150300000.0,-139000000.0,-137300000.0,-137200000.0,-137300000.0
Change To Inventory,-24200000.0,-24200000.0,-3400000.0,-45900000.0,-57600000.0,23700000.0
Change To Account Receivables,2400000.0,2400000.0,57100000.0,23600000.0,-42700000.0,-81900000.0
Other Cashflows From Financing Activities,17900000.0,17900000.0,-20700000.0,-9900000.0,-2700000.0,1700000.0
Change To Netincome,99100000.0,99100000.0,19900000.0,57000000.0,30300000.0,40300000.0
Capital Expenditures,-111700000.0,-111700000.0,-126700000.0,-102100000.0,-143500000.0,-178200000.0
