,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,46400000.0,86600000.0,-57200000.0,171800000.0,-74300000.0,10100000.0
Total Cashflows From Investing Activities,-1481600000.0,-1459700000.0,-1526600000.0,-1634200000.0,-1595600000.0,-1676400000.0
Net Borrowings,-523700000.0,592600000.0,1067900000.0,1854900000.0,820500000.0,816500000.0
Total Cash From Financing Activities,-815000000.0,242800000.0,590400000.0,1637100000.0,470200000.0,814300000.0
Change To Operating Activities,-128600000.0,33500000.0,-36400000.0,-212000000.0,-51000000.0,96700000.0
Issuance Of Stock,54900000.0,25500000.0,18500000.0,184600000.0,72300000.0,291100000.0
Net Income,520800000.0,748600000.0,435500000.0,575000000.0,578200000.0,796000000.0
Change In Cash,-1166100000.0,-40900000.0,-25500000.0,-114300000.0,35700000.0,1067000000.0
Total Cash From Operating Activities,1130500000.0,1176000000.0,910700000.0,-117200000.0,1161100000.0,1929100000.0
Depreciation,701700000.0,666200000.0,648000000.0,751800000.0,759000000.0,755800000.0
Other Cashflows From Investing Activities,7000000.0,16500000.0,30600000.0,17300000.0,-15000000.0,8900000.0
Dividends Paid,-337700000.0,-349100000.0,-369100000.0,-369500000.0,-371800000.0,-371700000.0
Change To Inventory,-84500000.0,22900000.0,-45500000.0,39500000.0,92800000.0,215100000.0
Change To Account Receivables,-48100000.0,-58200000.0,9600000.0,-12900000.0,-202600000.0,16300000.0
Other Cashflows From Financing Activities,-8500000.0,-26200000.0,-126900000.0,-32900000.0,-50800000.0,78400000.0
Change To Netincome,193300000.0,14900000.0,-590300000.0,-1349600000.0,215600000.0,272800000.0
Capital Expenditures,-1488600000.0,-1476200000.0,-1557200000.0,-1548600000.0,-1299200000.0,-1302400000.0
