,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31
Change To Liabilities,311208000.0,1416284000.0,-187737000.0,349540000.0,11351000.0
Total Cashflows From Investing Activities,-110318000.0,-89498000.0,-65888000.0,-136937000.0,-117500000.0
Total Cash From Financing Activities,3004000.0,-823277000.0,5005000.0,-142834000.0,-272815000.0
Change To Operating Activities,124595000.0,214961000.0,21465000.0,-147080000.0,165071000.0
Issuance Of Stock,5631000.0,6013000.0,6446000.0,6063000.0,6471000.0
Net Income,22047000.0,131197000.0,237980000.0,476479000.0,494258000.0
Change In Cash,1123549000.0,697927000.0,401927000.0,473049000.0,202260000.0
Repurchase Of Stock,-29000.0,-12745000.0,-131000.0,-47378000.0,-177421000.0
Total Cash From Operating Activities,1230863000.0,1610702000.0,462810000.0,752820000.0,592575000.0
Depreciation,89028000.0,88567000.0,96052000.0,87510000.0,86584000.0
Dividends Paid,-101519000.0,-101519000.0,-101519000.0,-101519000.0,-101865000.0
Change To Inventory,639280000.0,-512407000.0,121408000.0,-189010000.0,-53035000.0
Change To Netincome,14564000.0,246612000.0,14323000.0,54126000.0,37197000.0
Capital Expenditures,-110318000.0,-89498000.0,-65888000.0,-136937000.0,-117500000.0
Net Borrowings,-2479000.0,-587802000.0,-629000.0,,
Other Cashflows From Financing Activities,-119000.0,-228743000.0,-681000.0,,
