,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,4722000000.0,4175000000.0,4179000000.0,4241000000.0
Capital Surplus,12335000000.0,12329000000.0,12266000000.0,12228000000.0
Total Liab,19043000000.0,16851000000.0,16467000000.0,16113000000.0
Total Stockholder Equity,14995000000.0,14930000000.0,14476000000.0,14188000000.0
Minority Interest,42000000.0,43000000.0,42000000.0,47000000.0
Other Current Liab,2599000000.0,2290000000.0,2428000000.0,2253000000.0
Total Assets,34080000000.0,31824000000.0,30985000000.0,30348000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,2588000000.0,2556000000.0,2446000000.0,2446000000.0
Retained Earnings,6883000000.0,6794000000.0,6741000000.0,6767000000.0
Other Liab,3423000000.0,3526000000.0,3244000000.0,3220000000.0
Good Will,13757000000.0,12903000000.0,12677000000.0,12497000000.0
Treasury Stock,-4227000000.0,-4197000000.0,-4535000000.0,-4811000000.0
Other Assets,2196000000.0,2059000000.0,2003000000.0,1950000000.0
Cash,354000000.0,438000000.0,429000000.0,292000000.0
Total Current Liabilities,6581000000.0,5881000000.0,5805000000.0,5489000000.0
Deferred Long Term Asset Charges,436000000.0,426000000.0,376000000.0,356000000.0
Short Long Term Debt,1012000000.0,1039000000.0,1251000000.0,1223000000.0
Other Stockholder Equity,-4227000000.0,-4197000000.0,-4535000000.0,-4811000000.0
Property Plant Equipment,3351000000.0,3392000000.0,3337000000.0,3323000000.0
Total Current Assets,9905000000.0,9178000000.0,8671000000.0,8213000000.0
Long Term Investments,149000000.0,117000000.0,118000000.0,124000000.0
Net Tangible Assets,-3484000000.0,-2148000000.0,-2380000000.0,-2550000000.0
Short Term Investments,945000000.0,664000000.0,334000000.0,204000000.0
Net Receivables,3171000000.0,2994000000.0,2984000000.0,2753000000.0
Long Term Debt,8711000000.0,7088000000.0,7095000000.0,7084000000.0
Inventory,2399000000.0,2109000000.0,2096000000.0,2138000000.0
Accounts Payable,2172000000.0,1987000000.0,1788000000.0,1620000000.0
