,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,43223000000.0,-18046000000.0,-129772000000.0,-180752000000.0,-96821000000.0
Change To Liabilities,-16508000000.0,14630000000.0,-466000000.0,7415000000.0,43162000000.0
Total Cashflows From Investing Activities,28249000000.0,-199420000000.0,-52059000000.0,-261912000000.0,-129344000000.0
Net Borrowings,-18384000000.0,38952000000.0,-31450000000.0,10944000000.0,10197000000.0
Total Cash From Financing Activities,14642000000.0,34158000000.0,32987000000.0,596645000000.0,275993000000.0
Change To Operating Activities,-30927000000.0,2650000000.0,-59924000000.0,14034000000.0,-80570000000.0
Net Income,24441000000.0,32474000000.0,36431000000.0,29131000000.0,48334000000.0
Change In Cash,40150000000.0,-152511000000.0,-15162000000.0,263978000000.0,213225000000.0
Repurchase Of Stock,-15410000000.0,-19983000000.0,-24001000000.0,-6517000000.0,-18408000000.0
Effect Of Exchange Rate,8086000000.0,-2863000000.0,-182000000.0,9155000000.0,-11508000000.0
Total Cash From Operating Activities,-10827000000.0,15614000000.0,4092000000.0,-79910000000.0,78084000000.0
Depreciation,6179000000.0,7791000000.0,8368000000.0,8614000000.0,7932000000.0
Other Cashflows From Investing Activities,30885000000.0,-128187000000.0,67361000000.0,-54456000000.0,23429000000.0
Dividends Paid,-8993000000.0,-10109000000.0,-12343000000.0,-12690000000.0,-12858000000.0
Other Cashflows From Financing Activities,57429000000.0,25298000000.0,99856000000.0,601838000000.0,292287000000.0
Change To Netincome,16183000000.0,-1015000000.0,13210000000.0,27657000000.0,-14083000000.0
