,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,6885000000.0,6878000000.0,5518000000.0,4180000000.0,6376000000.0
Capital Surplus,90579000000.0,89162000000.0,88522000000.0,88394000000.0,88415000000.0
Total Liab,2277907000000.0,2366017000000.0,2426049000000.0,3105403000000.0,3449440000000.0
Total Stockholder Equity,229625000000.0,230447000000.0,234337000000.0,249291000000.0,259289000000.0
Other Current Liab,85886000000.0,103004000000.0,75569000000.0,99558000000.0,114577000000.0
Total Assets,2533600000000.0,2622532000000.0,2687379000000.0,3384757000000.0,3743567000000.0
Common Stock,4105000000.0,4105000000.0,4105000000.0,4105000000.0,4105000000.0
Other Current Assets,195193000000.0,207405000000.0,232279000000.0,235637000000.0,277348000000.0
Retained Earnings,177676000000.0,199202000000.0,223211000000.0,236990000000.0,272268000000.0
Other Liab,,,,2420000000.0,2261000000.0
Good Will,47507000000.0,47471000000.0,47823000000.0,49248000000.0,50315000000.0
Treasury Stock,-42735000000.0,-62022000000.0,-81501000000.0,-80198000000.0,-105499000000.0
Other Assets,1046063000000.0,1081167000000.0,1109292000000.0,1144340000000.0,1264438000000.0
Cash,385823000000.0,238077000000.0,217142000000.0,503209000000.0,721201000000.0
Total Current Liabilities,1967746000000.0,2063745000000.0,2108205000000.0,2795212000000.0,3151444000000.0
Short Long Term Debt,,,,,22776000000.0
Other Stockholder Equity,-140000000.0,-1528000000.0,1548000000.0,7986000000.0,-84000000.0
Property Plant Equipment,14159000000.0,36362000000.0,49400000000.0,48264000000.0,44623000000.0
Total Current Assets,1161287000000.0,1181001000000.0,1068584000000.0,1538408000000.0,1693889000000.0
Long Term Investments,257699000000.0,269653000000.0,406762000000.0,600317000000.0,683926000000.0
Net Tangible Assets,181263000000.0,182228000000.0,185695000000.0,199139000000.0,208092000000.0
Short Term Investments,198162000000.0,321579000000.0,249223000000.0,296284000000.0,261631000000.0
Long Term Debt,310161000000.0,302272000000.0,309339000000.0,299263000000.0,288979000000.0
Inventory,265000000.0,226000000.0,253000000.0,152000000.0,134000000.0
Accounts Payable,1516530000000.0,1543482000000.0,1635858000000.0,2213223000000.0,2529897000000.0
