,2017-09-30,2018-09-30,2019-09-30,2020-09-30
Investments,-2500000.0,-114300000.0,-11200000.0,-1300000.0
Change To Liabilities,302200000.0,180300000.0,-39100000.0,-86400000.0
Total Cashflows From Investing Activities,-868700000.0,-815100000.0,-4579600000.0,-921500000.0
Net Borrowings,-169100000.0,149800000.0,2262400000.0,-593600000.0
Total Cash From Financing Activities,-655400000.0,-755100000.0,1780200000.0,-1021100000.0
Change To Operating Activities,-23200000.0,-47000000.0,-178500000.0,-104000000.0
Issuance Of Stock,35800000.0,26600000.0,18300000.0,22200000.0
Net Income,708200000.0,1906100000.0,862900000.0,-690900000.0
Change In Cash,-62400000.0,332800000.0,-485200000.0,99500000.0
Effect Of Exchange Rate,-2100000.0,-28200000.0,4000000.0,-28600000.0
Total Cash From Operating Activities,1463800000.0,1931200000.0,2310200000.0,2070700000.0
Depreciation,1089900000.0,1248200000.0,1453500000.0,1442970000.0
Other Cashflows From Investing Activities,442400000.0,515700000.0,55800000.0,22900000.0
Dividends Paid,-403200000.0,-440900000.0,-467900000.0,-344500000.0
Change To Inventory,-48200000.0,-72100000.0,-110500000.0,21800000.0
Change To Account Receivables,-520100000.0,-580100000.0,272900000.0,30500000.0
Other Cashflows From Financing Activities,-25900000.0,-295500000.0,56000000.0,-105200000.0
Change To Netincome,-100000.0,-862400000.0,13200000.0,1457600000.0
Capital Expenditures,-778600000.0,-999900000.0,-1369100000.0,-978100000.0
Repurchase Of Stock,-93000000.0,-195100000.0,-88600000.0,
