,2020-09-26,2020-12-26,2021-03-27,2021-06-26
Investments,-7694000.0,-1214000.0,-16550000.0,-1512000.0
Change To Liabilities,16868000.0,42098000.0,9182000.0,-24095000.0
Total Cashflows From Investing Activities,-70810000.0,-88423000.0,-137996000.0,-954193000.0
Net Borrowings,-275725000.0,-60405000.0,239816000.0,518354000.0
Total Cash From Financing Activities,-268639000.0,-59229000.0,194720000.0,517955000.0
Change To Operating Activities,42824000.0,-20392000.0,-6776000.0,33803000.0
Issuance Of Stock,7198000.0,2780000.0,19612000.0,15686000.0
Net Income,102909000.0,143191000.0,61530000.0,88448000.0
Change In Cash,-156619000.0,-14304000.0,237906000.0,-243535000.0
Repurchase Of Stock,-112000.0,-74000.0,-36028000.0,-4269000.0
Effect Of Exchange Rate,5530000.0,-5031000.0,10953000.0,6113000.0
Total Cash From Operating Activities,177300000.0,138379000.0,170229000.0,186590000.0
Depreciation,59580000.0,60876000.0,61508000.0,68105000.0
Other Cashflows From Investing Activities,-35000.0,127000.0,781000.0,58000.0
Change To Inventory,-12154000.0,-4324000.0,-11404000.0,4297000.0
Change To Account Receivables,-32085000.0,-34171000.0,5598000.0,-10822000.0
Other Cashflows From Financing Activities,-1530000.0,-1530000.0,-28680000.0,-11816000.0
Change To Netincome,-642000.0,-48899000.0,50591000.0,26854000.0
Capital Expenditures,-26185000.0,-87854000.0,-28030000.0,-46431000.0
