,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,-26000000.0,-154000000.0,-264000000.0,-30000000.0
Total Cashflows From Investing Activities,-119000000.0,-114000000.0,-67000000.0,-174000000.0
Net Borrowings,1203000000.0,-21000000.0,-76000000.0,-36000000.0
Total Cash From Financing Activities,1022000000.0,-201000000.0,-269000000.0,-255000000.0
Change To Operating Activities,-264000000.0,280000000.0,-262000000.0,6000000.0
Net Income,-212000000.0,-170000000.0,652000000.0,-452000000.0
Change In Cash,1122000000.0,-71000000.0,71000000.0,250000000.0
Effect Of Exchange Rate,-11000000.0,25000000.0,30000000.0,1000000.0
Total Cash From Operating Activities,230000000.0,219000000.0,377000000.0,678000000.0
Depreciation,339000000.0,316000000.0,307000000.0,292000000.0
Other Cashflows From Investing Activities,49000000.0,53000000.0,-101000000.0,6000000.0
Dividends Paid,-118000000.0,-123000000.0,-129000000.0,-131000000.0
Change To Inventory,-135000000.0,92000000.0,103000000.0,88000000.0
Change To Account Receivables,419000000.0,-19000000.0,101000000.0,341000000.0
Other Cashflows From Financing Activities,-63000000.0,-57000000.0,-64000000.0,-88000000.0
Change To Netincome,98000000.0,-115000000.0,-260000000.0,433000000.0
Capital Expenditures,-237000000.0,-199000000.0,-173000000.0,-221000000.0
