,2021-02-28,2020-11-29,2020-08-30,2020-05-31
Change To Liabilities,-77600000.0,119800000.0,18700000.0,-37000000.0
Total Cashflows From Investing Activities,-52900000.0,-20200000.0,-33100000.0,-56200000.0
Net Borrowings,-8000000.0,-281100000.0,-507300000.0,1292200000.0
Total Cash From Financing Activities,-52700000.0,-317000000.0,-550200000.0,1252700000.0
Change To Operating Activities,-6300000.0,-20800000.0,30100000.0,-19300000.0
Net Income,66100000.0,96900000.0,89300000.0,-1600000.0
Change In Cash,-49600000.0,-268600000.0,-331500000.0,1333900000.0
Repurchase Of Stock,-13100000.0,-200000.0,-9600000.0,-9600000.0
Total Cash From Operating Activities,56000000.0,68200000.0,250600000.0,138300000.0
Depreciation,46300000.0,46600000.0,45600000.0,45200000.0
Other Cashflows From Investing Activities,-3100000.0,1500000.0,-12500000.0,-16300000.0
Dividends Paid,-33700000.0,-33600000.0,-33600000.0,-33600000.0
Change To Inventory,59700000.0,-158300000.0,18000000.0,109900000.0
Change To Account Receivables,-21900000.0,-17600000.0,9100000.0,25400000.0
Other Cashflows From Financing Activities,2100000.0,-2100000.0,300000.0,-5900000.0
Change To Netincome,-6800000.0,-4600000.0,9500000.0,19800000.0
Capital Expenditures,-49800000.0,-21700000.0,-20600000.0,-39900000.0
Effect Of Exchange Rate,,400000.0,1200000.0,-900000.0
