,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,-1054700000.0,45900000.0,36900000.0,-12000000.0
Change To Liabilities,65900000.0,71100000.0,69800000.0,31100000.0
Total Cashflows From Investing Activities,-1115300000.0,-9300000.0,-24000000.0,-112200000.0
Total Cash From Financing Activities,906000000.0,4500000.0,-4900000.0,800000.0
Change To Operating Activities,-11500000.0,39800000.0,31700000.0,-52500000.0
Issuance Of Stock,8600000.0,8600000.0,8700000.0,8700000.0
Net Income,46300000.0,72200000.0,355200000.0,40300000.0
Change In Cash,-54900000.0,143800000.0,144400000.0,-84000000.0
Effect Of Exchange Rate,300000.0,1000000.0,1300000.0,-400000.0
Total Cash From Operating Activities,154100000.0,147600000.0,172000000.0,27800000.0
Depreciation,15300000.0,18400000.0,20400000.0,20900000.0
Other Cashflows From Investing Activities,-2400000.0,-7800000.0,-700000.0,-500000.0
Change To Inventory,-23300000.0,-35400000.0,-33600000.0,-55000000.0
Change To Account Receivables,4300000.0,-73400000.0,-58500000.0,-14900000.0
Other Cashflows From Financing Activities,-200000.0,-4100000.0,-4900000.0,-7900000.0
Change To Netincome,57100000.0,54900000.0,-213000000.0,57900000.0
Capital Expenditures,-58200000.0,-47400000.0,-60200000.0,-99700000.0
Net Borrowings,906200000.0,,,
