,2018-12-31,2019-12-31
Investments,-2623422000.0,2665185000.0
Change To Liabilities,179183000.0,822185000.0
Total Cashflows From Investing Activities,-3630324000.0,740296000.0
Net Borrowings,880000000.0,871940000.0
Total Cash From Financing Activities,6734200000.0,3593562000.0
Change To Operating Activities,-8905000.0,-113248000.0
Net Income,-1398823000.0,-3691673000.0
Change In Cash,1516379000.0,776218000.0
Effect Of Exchange Rate,-14782000.0,5125000.0
Total Cash From Operating Activities,-1572715000.0,-3562765000.0
Depreciation,95631000.0,226665000.0
Other Cashflows From Investing Activities,2007000.0,83201000.0
Change To Inventory,-137877000.0,-394295000.0
Change To Account Receivables,-35390000.0,-504618000.0
Other Cashflows From Financing Activities,98010000.0,98010000.0
Change To Netincome,-266534000.0,92219000.0
Capital Expenditures,-770339000.0,-1931593000.0
