,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31
Investments,-16246000.0,-56507000.0,-239102000.0,43917000.0,134322000.0,81005000.0,5589000.0
Change To Liabilities,178469000.0,-24087000.0,-5005000.0,-2619000.0,104598000.0,-28216000.0,65609000.0
Total Cashflows From Investing Activities,-63014000.0,-119365000.0,-277207000.0,4667000.0,87615000.0,63800000.0,-35721000.0
Net Borrowings,-51275000.0,-51275000.0,-51275000.0,-51275000.0,-15553000.0,-235169000.0,-40993000.0
Total Cash From Financing Activities,-26450000.0,-3049000.0,-14892000.0,-126661000.0,-169235000.0,-461447000.0,-251241000.0
Change To Operating Activities,-11098000.0,7345000.0,-25165000.0,-88056000.0,-32099000.0,-22532000.0,-38564000.0
Issuance Of Stock,5000.0,13771000.0,1999000.0,17144000.0,15437000.0,9000.0,96000.0
Net Income,188908000.0,222718000.0,196332000.0,205512000.0,328319000.0,256718000.0,224040000.0
Change In Cash,131937000.0,219749000.0,-31059000.0,-82972000.0,123292000.0,125013000.0,42745000.0
Repurchase Of Stock,-9875000.0,-216000.0,-279000.0,-75863000.0,-152515000.0,-209847000.0,-194078000.0
Effect Of Exchange Rate,-1496000.0,-349000.0,616000.0,883000.0,-1372000.0,-1576000.0,-1576000.0
Total Cash From Operating Activities,222897000.0,342512000.0,260424000.0,38139000.0,206284000.0,522660000.0,331283000.0
Depreciation,32659000.0,30149000.0,32055000.0,33732000.0,31459000.0,30301000.0,29993000.0
Dividends Paid,-16580000.0,-16604000.0,-16612000.0,-16667000.0,-16604000.0,-16440000.0,-16266000.0
Change To Inventory,-19546000.0,20726000.0,-25436000.0,-35870000.0,55778000.0,2035000.0,-15448000.0
Change To Account Receivables,-204261000.0,109025000.0,92564000.0,-87512000.0,-285186000.0,269399000.0,45521000.0
Change To Netincome,35203000.0,-9581000.0,-6030000.0,8011000.0,10984000.0,29733000.0,8330000.0
Capital Expenditures,-47314000.0,-62858000.0,-38105000.0,-39250000.0,-34707000.0,-29205000.0,-29310000.0
Other Cashflows From Investing Activities,546000.0,,,,,,
