,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,0.0,0.0,-966000000.0,0.0
Total Cashflows From Investing Activities,-5144000000.0,-6345000000.0,-5043000000.0,-49653000000.0
Net Borrowings,-5759000000.0,2243000000.0,13022000000.0,31349000000.0
Total Cash From Financing Activities,-8795000000.0,-1505000000.0,9062000000.0,27956000000.0
Change To Operating Activities,4505000000.0,-1952000000.0,-143000000.0,-41000000.0
Net Income,4700000000.0,4357000000.0,4588000000.0,5245000000.0
Change In Cash,789000000.0,1070000000.0,13315000000.0,-12003000000.0
Total Cash From Operating Activities,14728000000.0,8920000000.0,9296000000.0,9694000000.0
Depreciation,4181000000.0,4192000000.0,4197000000.0,4174000000.0
Other Cashflows From Investing Activities,1422000000.0,-1733000000.0,-867000000.0,32000000.0
Dividends Paid,-2543000000.0,-2546000000.0,-2596000000.0,-2601000000.0
Other Cashflows From Financing Activities,-493000000.0,-1202000000.0,-1364000000.0,-792000000.0
Change To Netincome,1342000000.0,2323000000.0,1800000000.0,316000000.0
Capital Expenditures,-4576000000.0,-4318000000.0,-4024000000.0,-4494000000.0
Change To Inventory,-369000000.0,-369000000.0,-369000000.0,
Change To Account Receivables,189000000.0,189000000.0,189000000.0,
