,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,589000000.0,584000000.0,571000000.0,
Capital Surplus,4703000000.0,4683000000.0,4668000000.0,
Total Liab,7914000000.0,7838000000.0,7866000000.0,
Total Stockholder Equity,3394000000.0,3446000000.0,3522000000.0,
Other Current Liab,307000000.0,322000000.0,353000000.0,
Total Assets,11363000000.0,11339000000.0,11443000000.0,
Common Stock,436000000.0,434000000.0,433000000.0,
Other Current Assets,4000000.0,3000000.0,1000000.0,
Retained Earnings,223000000.0,258000000.0,364000000.0,
Other Liab,1470000000.0,1473000000.0,1407000000.0,
Good Will,4051000000.0,4072000000.0,4102000000.0,
Treasury Stock,-1968000000.0,-1929000000.0,-1943000000.0,
Other Assets,345000000.0,412000000.0,375000000.0,
Cash,1281000000.0,1365000000.0,1610000000.0,
Total Current Liabilities,1658000000.0,1577000000.0,1660000000.0,
Deferred Long Term Asset Charges,194000000.0,262000000.0,272000000.0,
Short Long Term Debt,391000000.0,384000000.0,376000000.0,
Other Stockholder Equity,-1968000000.0,-1929000000.0,-1943000000.0,
Property Plant Equipment,2676000000.0,2671000000.0,2723000000.0,
Total Current Assets,3702000000.0,3600000000.0,3672000000.0,
Net Tangible Assets,-1246000000.0,-1210000000.0,-1151000000.0,
Net Receivables,527000000.0,430000000.0,357000000.0,
Long Term Debt,4695000000.0,4697000000.0,4699000000.0,
Inventory,1673000000.0,1592000000.0,1488000000.0,
Accounts Payable,632000000.0,521000000.0,599000000.0,
