,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,0.0,0.0,-1600000.0,0.0,0.0,0.0,40000000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-11800000.0,-8700000.0,-17400000.0,-4600000.0,-14100000.0,3800000.0,-16700000.0,-6300000.0,-17600000.0,-942000000.0
Net Borrowings,-2600000.0,-700000.0,-100000.0,-100000.0,-100000.0,11200000.0,11200000.0,-3100000.0,596800000.0,195900000.0
Total Cash From Financing Activities,-32400000.0,-30100000.0,-142600000.0,-187200000.0,-77900000.0,-44200000.0,-220000000.0,-104900000.0,553300000.0,157700000.0
Change To Operating Activities,3600000.0,-8700000.0,66000000.0,-17800000.0,16400000.0,-74800000.0,69900000.0,-93000000.0,-46300000.0,13900000.0
Net Income,73700000.0,146900000.0,93300000.0,108000000.0,118700000.0,143500000.0,112800000.0,93000000.0,115100000.0,114600000.0
Change In Cash,55600000.0,126500000.0,49600000.0,-86100000.0,65900000.0,43700000.0,-106000000.0,-92800000.0,614500000.0,-637400000.0
Effect Of Exchange Rate,2600000.0,3900000.0,8700000.0,-6100000.0,2200000.0,-4800000.0,-1500000.0,-2100000.0,-9800000.0,-11100000.0
Total Cash From Operating Activities,97200000.0,161400000.0,200900000.0,111800000.0,155700000.0,88900000.0,132200000.0,20500000.0,88600000.0,158000000.0
Depreciation,19900000.0,20600000.0,7200000.0,21400000.0,20500000.0,20100000.0,9600000.0,20400000.0,19700000.0,29500000.0
Other Cashflows From Investing Activities,800000.0,200000.0,11900000.0,1700000.0,-2500000.0,13500000.0,2400000.0,2400000.0,-1700000.0,-2000000.0
Dividends Paid,-29700000.0,-29600000.0,-29000000.0,-32500000.0,-32100000.0,-32300000.0,-32100000.0,-35800000.0,-35700000.0,-36400000.0
Other Cashflows From Financing Activities,-100000.0,200000.0,-3300000.0,-5000000.0,4400000.0,1000000.0,1000000.0,-5000000.0,-7800000.0,-1800000.0
Capital Expenditures,-12600000.0,-8900000.0,-13800000.0,-6300000.0,-11600000.0,-10800000.0,-16700000.0,-8700000.0,-15900000.0,-16900000.0
Change To Netincome,2600000.0,2600000.0,32200000.0,200000.0,100000.0,100000.0,-37700000.0,100000.0,100000.0,
Repurchase Of Stock,-114700000.0,-114700000.0,-114700000.0,-149700000.0,-50100000.0,-12900000.0,-200100000.0,-61000000.0,,
Change To Inventory,-7800000.0,-7800000.0,-7800000.0,,-105600000.0,-105600000.0,-105600000.0,,,
Change To Account Receivables,-1900000.0,-1900000.0,-1900000.0,,31700000.0,31700000.0,31700000.0,,,
Investments,-3000000.0,-3000000.0,-3000000.0,7600000.0,7600000.0,7600000.0,,,,
Issuance Of Stock,4500000.0,4500000.0,4500000.0,,,,,,,
