,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Capital Surplus,922800000.0,925600000.0,830900000.0,909000000.0
Total Liab,5543100000.0,5571700000.0,5580400000.0,5634500000.0
Total Stockholder Equity,4414900000.0,4462600000.0,4051800000.0,4240300000.0
Minority Interest,324500000.0,325800000.0,326400000.0,326800000.0
Other Current Liab,16100000.0,8600000.0,123200000.0,19300000.0
Total Assets,10288100000.0,10365600000.0,9964000000.0,10207000000.0
Common Stock,1000000.0,1000000.0,900000.0,900000.0
Other Current Assets,142100000.0,63900000.0,40000000.0,60700000.0
Retained Earnings,3510700000.0,3552300000.0,3219600000.0,3250600000.0
Other Liab,1267500000.0,1279400000.0,1294200000.0,1333800000.0
Treasury Stock,-19600000.0,-16300000.0,400000.0,79800000.0
Other Assets,99700000.0,184600000.0,213700000.0,341900000.0
Cash,620100000.0,646000000.0,188200000.0,259900000.0
Total Current Liabilities,456900000.0,477200000.0,476400000.0,482700000.0
Short Long Term Debt,16300000.0,10900000.0,4100000.0,6500000.0
Other Stockholder Equity,-19600000.0,-16300000.0,400000.0,79800000.0
Property Plant Equipment,9028200000.0,9043100000.0,8949500000.0,9093800000.0
Total Current Assets,1116200000.0,1093800000.0,625800000.0,723300000.0
Long Term Investments,44000000.0,44100000.0,42600000.0,48000000.0
Net Tangible Assets,4414900000.0,4462600000.0,3919400000.0,4240300000.0
Net Receivables,222800000.0,256000000.0,247100000.0,271100000.0
Long Term Debt,3765400000.0,3765300000.0,3759200000.0,3763500000.0
Inventory,131200000.0,127900000.0,127200000.0,131600000.0
Accounts Payable,424500000.0,457700000.0,174600000.0,456900000.0
Intangible Assets,,,119200000.0,
Good Will,,,13200000.0,
