,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31
Change To Liabilities,0.0,0.0,142600000.0,0.0,0.0
Total Cashflows From Investing Activities,-235200000.0,-236400000.0,-182200000.0,-222800000.0,-228700000.0
Total Cash From Financing Activities,-248200000.0,-692100000.0,-503200000.0,-276600000.0,-704200000.0
Change To Operating Activities,51700000.0,-258700000.0,36400000.0,-47600000.0,-298200000.0
Issuance Of Stock,2100000.0,2500000.0,2700000.0,4000000.0,2600000.0
Net Income,261500000.0,330000000.0,502800000.0,374500000.0,282400000.0
Change In Cash,-4800000.0,-632000000.0,298400000.0,57200000.0,-753100000.0
Repurchase Of Stock,-300000.0,-194600000.0,-205900000.0,-280600000.0,-706800000.0
Effect Of Exchange Rate,600000.0,-200000.0,1200000.0,400000.0,-100000.0
Total Cash From Operating Activities,478000000.0,296700000.0,982600000.0,556200000.0,179900000.0
Depreciation,168100000.0,170100000.0,182900000.0,172700000.0,176100000.0
Other Cashflows From Investing Activities,-2700000.0,2300000.0,500000.0,2100000.0,200000.0
Change To Netincome,-4300000.0,54300000.0,-3700000.0,55000000.0,17900000.0
Capital Expenditures,-232500000.0,-238700000.0,-191800000.0,-224900000.0,-229100000.0
Net Borrowings,-250000000.0,-500000000.0,-300000000.0,,
Change To Inventory,97100000.0,97100000.0,97100000.0,,
