,2021-01-30,2020-02-01,2019-02-02,2018-02-03
Change To Liabilities,166000000.0,-93000000.0,29000000.0,50000000.0
Total Cashflows From Investing Activities,-219000000.0,-480000000.0,-609000000.0,-698000000.0
Net Borrowings,703000000.0,-316000000.0,7000000.0,7000000.0
Total Cash From Financing Activities,610000000.0,-666000000.0,-872000000.0,-1127000000.0
Change To Operating Activities,213000000.0,-20000000.0,128000000.0,20000000.0
Net Income,844000000.0,-366000000.0,644000000.0,983000000.0
Change In Cash,2434000000.0,86000000.0,-102000000.0,-419000000.0
Repurchase Of Stock,-12000000.0,-13000000.0,-211000000.0,-478000000.0
Effect Of Exchange Rate,4000000.0,-4000000.0,2000000.0,2000000.0
Total Cash From Operating Activities,2039000000.0,1236000000.0,1377000000.0,1406000000.0
Depreciation,521000000.0,588000000.0,590000000.0,571000000.0
Other Cashflows From Investing Activities,9000000.0,-22000000.0,20000000.0,9000000.0
Dividends Paid,-83000000.0,-332000000.0,-666000000.0,-686000000.0
Change To Inventory,3000000.0,-40000000.0,-40000000.0,-137000000.0
Change To Account Receivables,38000000.0,31000000.0,-63000000.0,-13000000.0
Other Cashflows From Financing Activities,2000000.0,-5000000.0,-2000000.0,-8000000.0
Change To Netincome,297000000.0,1118000000.0,202000000.0,-28000000.0
Capital Expenditures,-228000000.0,-458000000.0,-629000000.0,-707000000.0
Issuance Of Stock,,,,38000000.0
