,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Capital Surplus,5752658000.0,5759104000.0,5766511000.0,5763868000.0
Total Liab,5923653000.0,5968822000.0,5928460000.0,5953384000.0
Total Stockholder Equity,5556491000.0,5474938000.0,5608024000.0,5663293000.0
Minority Interest,79806000.0,80412000.0,77994000.0,83006000.0
Other Current Liab,5366000.0,5366000.0,5366000.0,5366000.0
Total Assets,11559970000.0,11524192000.0,11614498000.0,11699703000.0
Common Stock,4325000.0,4325000.0,4325000.0,4334000.0
Other Liab,477545000.0,517185000.0,324538000.0,510704000.0
Treasury Stock,-200492000.0,-288491000.0,-162812000.0,-104909000.0
Other Assets,73828000.0,78524000.0,237044000.0,249835000.0
Cash,201687000.0,324977000.0,293188000.0,253852000.0
Total Current Liabilities,5366000.0,5366000.0,163032000.0,5366000.0
Other Stockholder Equity,-200492000.0,-288491000.0,-162812000.0,-104909000.0
Property Plant Equipment,9499154000.0,9474016000.0,9331278000.0,9517144000.0
Total Current Assets,451837000.0,564841000.0,512436000.0,454507000.0
Long Term Investments,1535151000.0,1406811000.0,1414788000.0,1478217000.0
Net Tangible Assets,5556491000.0,5474938000.0,5489072000.0,5663293000.0
Net Receivables,250150000.0,239864000.0,219248000.0,200655000.0
Long Term Debt,5350378000.0,5357378000.0,5355480000.0,5341481000.0
Intangible Assets,,,118952000.0,
Deferred Long Term Liab,,,141567000.0,
Deferred Long Term Asset Charges,,,13015000.0,
Accounts Payable,,,146457000.0,
