,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,416200000.0,408200000.0,397500000.0,410300000.0,620800000.0,603600000.0,756900000.0,738400000.0,751200000.0,753800000.0
Capital Surplus,1834500000.0,1938100000.0,2068400000.0,2105700000.0,2198900000.0,2289500000.0,2409000000.0,2438500000.0,2477800000.0,2565100000.0
Total Liab,6403600000.0,6648700000.0,6875400000.0,7611800000.0,8780800000.0,8917400000.0,8299300000.0,8370100000.0,8444200000.0,8449000000.0
Total Stockholder Equity,4738600000.0,5040200000.0,5384900000.0,5461000000.0,5715500000.0,5945900000.0,6302000000.0,6426100000.0,6464300000.0,6570900000.0
Minority Interest,61700000.0,65000000.0,67000000.0,60700000.0,62800000.0,62800000.0,77100000.0,77400000.0,77600000.0,78000000.0
Other Current Liab,193700000.0,192100000.0,199400000.0,216000000.0,404900000.0,395300000.0,208600000.0,236100000.0,242700000.0,243500000.0
Total Assets,11203900000.0,11753900000.0,12327300000.0,13133500000.0,14559100000.0,14926100000.0,14678400000.0,14873600000.0,14986100000.0,15097900000.0
Common Stock,300000.0,300000.0,300000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0
Retained Earnings,3419400000.0,3587100000.0,3705400000.0,3807100000.0,3916400000.0,4080600000.0,4278900000.0,4391500000.0,4553800000.0,4775100000.0
Other Liab,854600000.0,847700000.0,773800000.0,953600000.0,1074100000.0,1082400000.0,875900000.0,1064100000.0,1029300000.0,1043800000.0
Good Will,4867000000.0,4955500000.0,5032100000.0,5093000000.0,5891700000.0,5839400000.0,6376800000.0,6349100000.0,6275000000.0,6337500000.0
Treasury Stock,-515600000.0,-485300000.0,-389200000.0,-452400000.0,-400400000.0,-424800000.0,-386500000.0,-404500000.0,-567900000.0,-769900000.0
Other Assets,301000000.0,316300000.0,127900000.0,367300000.0,386100000.0,387900000.0,166300000.0,502400000.0,493800000.0,512800000.0
Cash,1288300000.0,1420500000.0,1702000000.0,2327600000.0,1209400000.0,1268100000.0,1197100000.0,1247500000.0,1215200000.0,1189000000.0
Total Current Liabilities,1785200000.0,2215000000.0,2304300000.0,2547900000.0,2996500000.0,2885000000.0,2447100000.0,2397200000.0,2580700000.0,2654900000.0
Short Long Term Debt,2300000.0,229200000.0,230300000.0,526400000.0,526100000.0,298700000.0,4000000.0,23700000.0,28100000.0,2900000.0
Other Stockholder Equity,-494600000.0,-388400000.0,-278100000.0,-335000000.0,-300300000.0,-335500000.0,-286500000.0,-303500000.0,-475900000.0,-672400000.0
Property Plant Equipment,1001700000.0,1036900000.0,1279000000.0,1076200000.0,1169300000.0,1175400000.0,1420200000.0,1175000000.0,1155100000.0,1166900000.0
Total Current Assets,4618000000.0,5037000000.0,5490800000.0,6186700000.0,6491200000.0,6919800000.0,5958200000.0,6108700000.0,6311000000.0,6326900000.0
Net Tangible Assets,-544600000.0,-323500000.0,-44700000.0,-42300000.0,-797000000.0,-497100000.0,-831700000.0,-661400000.0,-561900000.0,-520400000.0
Short Term Investments,25700000.0,35700000.0,36100000.0,33600000.0,33200000.0,34400000.0,44300000.0,52100000.0,119200000.0,63000000.0
Net Receivables,1658300000.0,1880300000.0,1951600000.0,1931800000.0,2072800000.0,2204500000.0,2454800000.0,2422100000.0,2571600000.0,2640100000.0
Long Term Debt,3763800000.0,3586000000.0,3636200000.0,4110300000.0,4710200000.0,4950000000.0,4795900000.0,4908800000.0,4834200000.0,4750300000.0
Inventory,1361900000.0,1391000000.0,1462200000.0,1565100000.0,1771400000.0,1952500000.0,1894100000.0,1989700000.0,2043700000.0,2080100000.0
Accounts Payable,928000000.0,1075900000.0,1120700000.0,1070700000.0,1204700000.0,1300000000.0,1312000000.0,1275900000.0,1372900000.0,1393600000.0
Deferred Long Term Asset Charges,,,98100000.0,,,,91000000.0,,,
Other Current Assets,,,,,1032400000.0,1068200000.0,,,,
