,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25
Change To Liabilities,-52000000.0,116000000.0,145000000.0,-11000000.0,231000000.0,-26000000.0
Total Cashflows From Investing Activities,-115000000.0,-125000000.0,-160000000.0,-216000000.0,3243000000.0,-283000000.0
Net Borrowings,-3917000000.0,-571000000.0,-302000000.0,-1014000000.0,-2076000000.0,-1055000000.0
Total Cash From Financing Activities,-4542000000.0,-1072000000.0,-822000000.0,-1643000000.0,-2912000000.0,-1778000000.0
Change To Operating Activities,604000000.0,-30000000.0,65000000.0,-284000000.0,603000000.0,-615000000.0
Net Income,-1651000000.0,597000000.0,1032000000.0,563000000.0,-27000000.0,733000000.0
Change In Cash,-2591000000.0,-92000000.0,697000000.0,-1057000000.0,1581000000.0,-1668000000.0
Effect Of Exchange Rate,62000000.0,-5000000.0,76000000.0,-8000000.0,31000000.0,-26000000.0
Total Cash From Operating Activities,2004000000.0,1110000000.0,1603000000.0,810000000.0,1219000000.0,419000000.0
Depreciation,247000000.0,232000000.0,247000000.0,222000000.0,227000000.0,228000000.0
Other Cashflows From Investing Activities,12000000.0,14000000.0,39000000.0,11000000.0,12000000.0,-25000000.0
Dividends Paid,-489000000.0,-490000000.0,-491000000.0,-489000000.0,-490000000.0,-490000000.0
Change To Inventory,29000000.0,-258000000.0,189000000.0,-101000000.0,-126000000.0,-37000000.0
Change To Account Receivables,363000000.0,54000000.0,-20000000.0,-34000000.0,96000000.0,30000000.0
Other Cashflows From Financing Activities,-136000000.0,-11000000.0,-29000000.0,-140000000.0,-346000000.0,-233000000.0
Change To Netincome,2464000000.0,399000000.0,-55000000.0,455000000.0,215000000.0,106000000.0
Capital Expenditures,-127000000.0,-139000000.0,-199000000.0,-227000000.0,-204000000.0,-224000000.0
