,2021-04-03,2021-01-02,2020-09-30,2020-06-27
Change To Liabilities,13000000.0,-20000000.0,-14000000.0,-36000000.0
Total Cashflows From Investing Activities,-923000000.0,-29000000.0,-43000000.0,-12000000.0
Net Borrowings,-50000000.0,-19000000.0,-40000000.0,1474000000.0
Total Cash From Financing Activities,-13000000.0,-60000000.0,-15000000.0,1493000000.0
Change To Operating Activities,-137000000.0,38000000.0,9000000.0,82000000.0
Issuance Of Stock,37000000.0,32000000.0,27000000.0,20000000.0
Net Income,104000000.0,50000000.0,82000000.0,-6000000.0
Change In Cash,-835000000.0,190000000.0,168000000.0,1881000000.0
Effect Of Exchange Rate,3000000.0,5000000.0,4000000.0,3000000.0
Total Cash From Operating Activities,98000000.0,274000000.0,222000000.0,397000000.0
Depreciation,66000000.0,58000000.0,72000000.0,70000000.0
Other Cashflows From Investing Activities,24000000.0,24000000.0,24000000.0,24000000.0
Change To Inventory,31000000.0,1000000.0,64000000.0,-29000000.0
Change To Account Receivables,-47000000.0,86000000.0,5000000.0,273000000.0
Change To Netincome,38000000.0,36000000.0,91000000.0,10000000.0
Capital Expenditures,-29000000.0,-31000000.0,-43000000.0,-12000000.0
Other Cashflows From Financing Activities,,-73000000.0,-186900000.0,-1000000.0
