,2020-06-27,2020-09-30,2021-01-02,2021-04-03
Intangible Assets,2634000000.0,2610000000.0,2604000000.0,2875000000.0
Capital Surplus,1527000000.0,1581000000.0,1656000000.0,1714000000.0
Total Liab,22358000000.0,22363000000.0,22278000000.0,22260000000.0
Total Stockholder Equity,-4183000000.0,-3972000000.0,-3728000000.0,-3528000000.0
Minority Interest,4000000.0,4000000.0,7000000.0,7000000.0
Other Current Liab,63400000.0,165000000.0,46000000.0,56000000.0
Total Assets,18179000000.0,18395000000.0,18557000000.0,18739000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,,,3000000.0,2000000.0
Retained Earnings,-4427000000.0,-4359000000.0,-4314000000.0,-4215000000.0
Other Liab,864000000.0,893000000.0,944000000.0,960000000.0
Good Will,7858000000.0,7889000000.0,7927000000.0,8564000000.0
Treasury Stock,-1284000000.0,-1195000000.0,-1071000000.0,-1028000000.0
Other Assets,70000000.0,81000000.0,82000000.0,45000000.0
Cash,4549000000.0,4717000000.0,4907000000.0,4072000000.0
Total Current Liabilities,1651000000.0,1616000000.0,1563000000.0,1580000000.0
Short Long Term Debt,325000000.0,330000000.0,340000000.0,354000000.0
Other Stockholder Equity,-490000000.0,-401000000.0,-277000000.0,-234000000.0
Property Plant Equipment,846000000.0,855000000.0,870000000.0,897000000.0
Total Current Assets,6771000000.0,6960000000.0,7074000000.0,6358000000.0
Net Tangible Assets,-14675000000.0,-14471000000.0,-14259000000.0,-14967000000.0
Net Receivables,765000000.0,756000000.0,676000000.0,736000000.0
Long Term Debt,19702000000.0,19657000000.0,19622000000.0,19531000000.0
Inventory,1344000000.0,1283000000.0,1284000000.0,1240000000.0
Accounts Payable,231000000.0,218000000.0,197000000.0,214000000.0
Deferred Long Term Asset Charges,12000000.0,17000000.0,18000000.0,
