,2020-06-27,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,-21974000.0,4299000.0,11530000.0,46822000.0,-11785000.0,37231000.0,-737000.0
Total Cashflows From Investing Activities,-20263000.0,-28966000.0,46703000.0,-717027000.0,-4489000.0,-13046000.0,2661000.0
Net Borrowings,-510125000.0,-120000000.0,-18279000.0,520000000.0,-30000000.0,-40075000.0,-239000.0
Total Cash From Financing Activities,-535603000.0,-111130000.0,-42779000.0,527742000.0,-44973000.0,-69726000.0,-169143000.0
Change To Operating Activities,-16089000.0,-415000.0,-50118000.0,-39992000.0,-22804000.0,-45067000.0,-23455000.0
Net Income,34678000.0,53406000.0,23515000.0,109262000.0,51203000.0,292943000.0,46089000.0
Change In Cash,-449748000.0,-101970000.0,123239000.0,-72603000.0,39675000.0,-39224000.0,-30407000.0
Repurchase Of Stock,-9661000.0,-508000.0,-24500000.0,-2742000.0,-14973000.0,-40742000.0,-168904000.0
Effect Of Exchange Rate,1613000.0,4152000.0,5553000.0,-5010000.0,1103000.0,-1773000.0,-1661000.0
Total Cash From Operating Activities,104505000.0,33974000.0,113762000.0,121692000.0,88034000.0,45321000.0,137736000.0
Depreciation,49651000.0,2569000.0,28226000.0,30899000.0,31576000.0,2064000.0,30948000.0
Other Cashflows From Investing Activities,-3929000.0,-7692000.0,-7359000.0,4006000.0,62000.0,4256000.0,6473000.0
Change To Account Receivables,34475000.0,-87027000.0,10315000.0,-20169000.0,5744000.0,-115308000.0,57316000.0
Change To Netincome,24394000.0,15922000.0,45757000.0,44351000.0,42680000.0,-183814000.0,35903000.0
Capital Expenditures,-5169000.0,-4784000.0,-2857000.0,-5385000.0,-3420000.0,-13051000.0,-3362000.0
Investments,-115000.0,-1532000.0,57469000.0,1000000.0,-4000000.0,-4000000.0,
Issuance Of Stock,9402000.0,9402000.0,10484000.0,10484000.0,11091000.0,11091000.0,
Other Cashflows From Financing Activities,-15817000.0,-24000.0,546000.0,546000.0,,,
