,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Intangible Assets,88908000000.0,88551000000.0,88126000000.0,87793000000.0,87517000000.0
Capital Surplus,72505000000.0,72705000000.0,72772000000.0,72839000000.0,72919000000.0
Total Liab,124203000000.0,127956000000.0,134818000000.0,136955000000.0,136654000000.0
Total Stockholder Equity,62996000000.0,64487000000.0,65344000000.0,66377000000.0,67470000000.0
Deferred Long Term Liab,,,1100000000.0,1200000000.0,1200000000.0
Other Current Liab,4068000000.0,3653000000.0,2404000000.0,2231000000.0,2317000000.0
Total Assets,187199000000.0,192443000000.0,200162000000.0,203332000000.0,204124000000.0
Other Current Assets,4328000000.0,2702000000.0,2292000000.0,1565000000.0,1436000000.0
Retained Earnings,-7839000000.0,-6586000000.0,-5836000000.0,-4903000000.0,-3925000000.0
Other Liab,13490000000.0,13950000000.0,15378000000.0,15452000000.0,15620000000.0
Good Will,10910000000.0,10906000000.0,11117000000.0,11158000000.0,11152000000.0
Treasury Stock,-1670000000.0,-1632000000.0,-1592000000.0,-1559000000.0,-1524000000.0
Other Assets,3725000000.0,3917000000.0,4810000000.0,14361000000.0,14550000000.0
Cash,11076000000.0,6571000000.0,10385000000.0,6677000000.0,7793000000.0
Total Current Liabilities,23191000000.0,19840000000.0,21703000000.0,19495000000.0,21837000000.0
Short Long Term Debt,,,4579000000.0,4423000000.0,6883000000.0
Other Stockholder Equity,-1658000000.0,-1621000000.0,-1581000000.0,-1545000000.0,-1510000000.0
Property Plant Equipment,59335000000.0,69604000000.0,72224000000.0,71241000000.0,70335000000.0
Total Current Assets,24321000000.0,19465000000.0,23885000000.0,18779000000.0,20570000000.0
Net Tangible Assets,-36822000000.0,-34970000000.0,-33899000000.0,-32574000000.0,-31199000000.0
Net Receivables,6741000000.0,7602000000.0,8057000000.0,7658000000.0,8816000000.0
Long Term Debt,67489000000.0,63056000000.0,66546000000.0,71116000000.0,68387000000.0
Inventory,1549000000.0,1931000000.0,2527000000.0,2209000000.0,1707000000.0
Accounts Payable,4960000000.0,3862000000.0,5564000000.0,4559000000.0,3855000000.0
