Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01-00-00-00,1636.630005,1665.72998,1632.219971,1660.709961,1660.709961,1826700
2020-09-02-00-00-00,1673.775024,1733.180054,1666.329956,1728.280029,1728.280029,2511200
2020-09-03-00-00-00,1709.713989,1709.713989,1615.060059,1641.839966,1641.839966,3107800
2020-09-04-00-00-00,1624.26001,1645.109985,1547.6130369999998,1591.040039,1591.040039,2608600
2020-09-08-00-00-00,1533.51001,1563.86499,1528.01001,1532.390015,1532.390015,2610900
2020-09-09-00-00-00,1557.530029,1569.0,1536.051025,1556.959961,1556.959961,1774700
2020-09-10-00-00-00,1560.640015,1584.081055,1525.805054,1532.02002,1532.02002,1618600
2020-09-11-00-00-00,1536.0,1575.199951,1497.359985,1520.719971,1520.719971,1597100
2020-09-14-00-00-00,1539.005005,1564.0,1515.73999,1519.280029,1519.280029,1696600
2020-09-15-00-00-00,1536.0,1559.569946,1531.834961,1541.439941,1541.439941,1331100
2020-09-16-00-00-00,1555.540039,1562.0,1519.819946,1520.900024,1520.900024,1311700
2020-09-17-00-00-00,1496.0,1508.297974,1470.0,1495.530029,1495.530029,1879800
2020-09-18-00-00-00,1498.01001,1503.003052,1437.130005,1459.98999,1459.98999,3103900
2020-09-21-00-00-00,1440.060059,1448.359985,1406.550049,1431.160034,1431.160034,2888800
2020-09-22-00-00-00,1450.089966,1469.52002,1434.530029,1465.459961,1465.459961,1583200
2020-09-23-00-00-00,1458.780029,1460.959961,1407.699951,1415.209961,1415.209961,1657400
2020-09-24-00-00-00,1411.030029,1443.7089839999999,1409.849976,1428.290039,1428.290039,1450200
2020-09-25-00-00-00,1432.630005,1450.0,1413.339966,1444.959961,1444.959961,1323000
2020-09-28-00-00-00,1474.209961,1476.800049,1449.301025,1464.52002,1464.52002,2007900
2020-09-29-00-00-00,1470.390015,1476.662964,1458.805054,1469.329956,1469.329956,978200
2020-09-30-00-00-00,1466.800049,1489.75,1459.880005,1469.599976,1469.599976,1700600
