,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,1808232000.0,1804354000.0,1800002000.0,1792531000.0
Total Liab,2244882000.0,2307825000.0,2300817000.0,2361891000.0
Total Stockholder Equity,2305970000.0,2215707000.0,2118488000.0,2165979000.0
Deferred Long Term Liab,6360000.0,6875000.0,7391000.0,7907000.0
Other Current Liab,19895000.0,,11628000.0,
Total Assets,4550852000.0,4523532000.0,4419305000.0,4527870000.0
Common Stock,47838000.0,47783000.0,47754000.0,47754000.0
Other Current Assets,21984000.0,39437000.0,13900000.0,55561000.0
Retained Earnings,2270819000.0,2184352000.0,2093004000.0,2147822000.0
Other Liab,954970000.0,942047000.0,910583000.0,903826000.0
Treasury Stock,-1820919000.0,-1820782000.0,-1822272000.0,-1822128000.0
Other Assets,30784000.0,29470000.0,27352000.0,26496000.0
Cash,173659000.0,140113000.0,170000.0,117164000.0
Total Current Liabilities,315092000.0,390226000.0,385928000.0,381388000.0
Short Long Term Debt,100000000.0,188000000.0,188000000.0,175000000.0
Other Stockholder Equity,2282000.0,2419000.0,929000.0,1073000.0
Property Plant Equipment,4108153000.0,4078347000.0,4069401000.0,4037440000.0
Total Current Assets,411915000.0,415715000.0,322552000.0,463934000.0
Net Tangible Assets,2305970000.0,2215707000.0,2118488000.0,2165979000.0
Net Receivables,200402000.0,220895000.0,293553000.0,273261000.0
Long Term Debt,946123000.0,945924000.0,973712000.0,1045495000.0
Inventory,15870000.0,15270000.0,14929000.0,17948000.0
Accounts Payable,169101000.0,162081000.0,151662000.0,161657000.0
