,2020-03-31,2020-06-30,2021-03-31,2021-06-30
Change To Liabilities,-3000000.0,-4000000.0,4000000.0,1070000000.0
Total Cashflows From Investing Activities,-49000000.0,-41000000.0,-38000000.0,-249000000.0
Net Borrowings,-566000000.0,-566000000.0,-566000000.0,8524000000.0
Total Cash From Financing Activities,-618000000.0,-577000000.0,-1361000000.0,233000000.0
Change To Operating Activities,147000000.0,-85000000.0,995000000.0,-639000000.0
Net Income,703000000.0,542000000.0,399000000.0,427000000.0
Change In Cash,1000000.0,124000000.0,91000000.0,569000000.0
Effect Of Exchange Rate,2000000.0,-61000000.0,-14000000.0,46000000.0
Total Cash From Operating Activities,666000000.0,803000000.0,1504000000.0,539000000.0
Depreciation,33000000.0,34000000.0,38000000.0,43000000.0
Change To Inventory,-10000000.0,-20000000.0,-33000000.0,35000000.0
Change To Account Receivables,-156000000.0,176000000.0,-40000000.0,-332000000.0
Other Cashflows From Financing Activities,-618000000.0,-577000000.0,-795000000.0,-8291000000.0
Change To Netincome,-55000000.0,150000000.0,193000000.0,4000000.0
Capital Expenditures,-40000000.0,-47000000.0,-38000000.0,-251000000.0
Other Cashflows From Investing Activities,-10000000.0,6000000.0,,
