,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,,812000000.0,569000000.0,503000000.0
Total Liab,,4146000000.0,3513000000.0,4434000000.0
Total Stockholder Equity,,6348000000.0,7035000000.0,5486000000.0
Other Current Liab,,328000000.0,252000000.0,165000000.0
Total Assets,,10494000000.0,10548000000.0,9920000000.0
Common Stock,,7256000000.0,7949000000.0,6108000000.0
Other Current Assets,,871000000.0,805000000.0,577000000.0
Other Liab,,2567000000.0,2034000000.0,1879000000.0
Good Will,,4603000000.0,4603000000.0,4603000000.0
Treasury Stock,,-908000000.0,-914000000.0,-622000000.0
Other Assets,,714000000.0,659000000.0,347000000.0
Cash,,244000000.0,319000000.0,70000000.0
Total Current Liabilities,,1545000000.0,1341000000.0,2484000000.0
Deferred Long Term Asset Charges,,271000000.0,197000000.0,165000000.0
Other Stockholder Equity,,-908000000.0,-914000000.0,-622000000.0
Property Plant Equipment,,651000000.0,762000000.0,1089000000.0
Total Current Assets,,3714000000.0,3955000000.0,3378000000.0
Net Tangible Assets,,933000000.0,1863000000.0,380000000.0
Net Receivables,,1605000000.0,1760000000.0,1760000000.0
Inventory,,994000000.0,1071000000.0,971000000.0
Accounts Payable,,289000000.0,258000000.0,294000000.0
Long Term Debt,,34000000.0,70000000.0,
