,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,3797500000.0,8883200000.0,9212500000.0,9426200000.0
Capital Surplus,3197900000.0,4495600000.0,4537700000.0,1956800000.0
Total Liab,27561500000.0,35955400000.0,38609100000.0,38695100000.0
Total Stockholder Equity,4270600000.0,5109100000.0,5649900000.0,5948500000.0
Minority Interest,10900000.0,21900000.0,29300000.0,3400000.0
Other Current Liab,7038600000.0,15648000000.0,16603600000.0,17308000000.0
Total Assets,31843000000.0,41089300000.0,44291200000.0,44649900000.0
Common Stock,1500000.0,1600000.0,1600000.0,600000.0
Other Current Assets,9895600000.0,9291500000.0,9724500000.0,9969600000.0
Retained Earnings,5697300000.0,5759700000.0,5966400000.0,3548700000.0
Other Liab,12492000000.0,11090700000.0,11832500000.0,12453200000.0
Good Will,917700000.0,2321800000.0,2343400000.0,2589300000.0
Treasury Stock,-4626100000.0,-5147800000.0,-4855800000.0,442400000.0
Other Assets,2894400000.0,2973100000.0,3175300000.0,3394400000.0
Cash,1066600000.0,1316600000.0,1900000000.0,2228600000.0
Total Current Liabilities,13900400000.0,21542000000.0,23090200000.0,23984300000.0
Short Long Term Debt,349800000.0,,,50000000.0
Other Stockholder Equity,234000000.0,-155400000.0,411500000.0,709800000.0
Property Plant Equipment,347600000.0,392500000.0,503200000.0,560300000.0
Total Current Assets,12631600000.0,12671400000.0,13749100000.0,14087800000.0
Long Term Investments,11254200000.0,13847300000.0,15307700000.0,14591900000.0
Net Tangible Assets,3064300000.0,2164900000.0,2766300000.0,2663000000.0
Short Term Investments,284100000.0,373200000.0,402500000.0,333200000.0
Net Receivables,1385300000.0,1690100000.0,1722100000.0,1556400000.0
Long Term Debt,1169100000.0,3322700000.0,3610000000.0,2202900000.0
Accounts Payable,6146900000.0,5555400000.0,5946100000.0,5894800000.0
