,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,2367000000.0,2465000000.0,2603000000.0,2675000000.0,2848000000.0
Total Liab,79752000000.0,81339000000.0,84179000000.0,87563000000.0,91579000000.0
Total Stockholder Equity,23731000000.0,22894000000.0,25943000000.0,29201000000.0,28887000000.0
Other Current Liab,12915000000.0,13565000000.0,14738000000.0,16558000000.0,17712000000.0
Total Assets,103483000000.0,104233000000.0,110122000000.0,116764000000.0,120466000000.0
Common Stock,22886000000.0,23144000000.0,23469000000.0,23743000000.0,24154000000.0
Other Current Assets,13690000000.0,13779000000.0,13452000000.0,13195000000.0,12957000000.0
Retained Earnings,33462000000.0,35204000000.0,36977000000.0,38771000000.0,41555000000.0
Other Liab,10275000000.0,10181000000.0,10600000000.0,9133000000.0,8886000000.0
Good Will,3951000000.0,3937000000.0,3961000000.0,3976000000.0,4008000000.0
Treasury Stock,-32617000000.0,-35454000000.0,-34503000000.0,-33313000000.0,-36822000000.0
Other Assets,4354000000.0,4789000000.0,4785000000.0,4973000000.0,5413000000.0
Cash,344000000.0,373000000.0,494000000.0,721000000.0,761000000.0
Total Current Liabilities,63006000000.0,64694000000.0,67121000000.0,71721000000.0,75265000000.0
Other Stockholder Equity,-343000000.0,-1859000000.0,640000000.0,2502000000.0,1193000000.0
Total Current Assets,26138000000.0,25655000000.0,26798000000.0,27256000000.0,25639000000.0
Long Term Investments,66673000000.0,67387000000.0,71975000000.0,77884000000.0,82558000000.0
Net Tangible Assets,19438000000.0,18612000000.0,21652000000.0,24908000000.0,24573000000.0
Short Term Investments,4895000000.0,3985000000.0,4943000000.0,5511000000.0,3836000000.0
Net Receivables,7209000000.0,7518000000.0,7909000000.0,7829000000.0,8085000000.0
Long Term Debt,6471000000.0,6464000000.0,6458000000.0,6450000000.0,7190000000.0
Accounts Payable,49991000000.0,51029000000.0,52283000000.0,54960000000.0,57360000000.0
Short Long Term Debt,,100000000.0,500000000.0,,
Deferred Long Term Asset Charges,70000000.0,445000000.0,,,
