,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Net Income,-3517549000.0,-7561669000.0,-23327862000.0,-11413101000.0,-5610790000.0
Change To Liabilities,0.0,0.0,3020668000.0,218918000.0,0.0
Investments,772298000.0,-49002000.0,-5265603000.0,5088856000.0,
Total Cashflows From Investing Activities,117843000.0,-1190273000.0,-7940843000.0,3382069000.0,
Net Borrowings,37500000.0,621299000.0,2631119000.0,3044163000.0,
Total Cash From Financing Activities,2292704000.0,12867334000.0,11603092000.0,3094953000.0,
Change To Operating Activities,241229000.0,210543000.0,-404042000.0,338260000.0,
Issuance Of Stock,6207000.0,6207000.0,7573288000.0,50790000.0,
Change In Cash,249522000.0,6934222000.0,-4306466000.0,-2234518000.0,
Effect Of Exchange Rate,40539000.0,-168120000.0,-56947000.0,10166000.0,
Total Cash From Operating Activities,-2201564000.0,-4574719000.0,-7911768000.0,-8721706000.0,
Depreciation,46087000.0,167858000.0,474223000.0,1520973000.0,
Change To Inventory,-89464000.0,-89464000.0,-1375862000.0,569163000.0,
Change To Account Receivables,-756508000.0,-756508000.0,-756508000.0,-681556000.0,
Change To Netincome,1013036000.0,2688363000.0,14436217000.0,733585000.0,
Capital Expenditures,-654455000.0,-1113893000.0,-2643964000.0,-1706787000.0,
Repurchase Of Stock,-8408000.0,-7490000.0,-7490000.0,,
Other Cashflows From Investing Activities,-31276000.0,-31276000.0,-31276000.0,,
Other Cashflows From Financing Activities,13376000.0,13376000.0,1327524000.0,,
