,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Intangible Assets,210337000.0,208928000.0,207496000.0,206031000.0,204581000.0,203169000.0,201749000.0
Capital Surplus,40227856000.0,40298197000.0,43726092000.0,58380028000.0,78880014000.0,80907636000.0,81136762000.0
Total Liab,19403841000.0,21896397000.0,22627701000.0,20220920000.0,22779686000.0,30680132000.0,35481137000.0
Total Stockholder Equity,-6299686000.0,-8053126000.0,-5794880000.0,8022268000.0,27168831000.0,26821476000.0,26349172000.0
Minority Interest,1477874000.0,1493903000.0,6317855000.0,6149922000.0,4693412000.0,3617325000.0,3689431000.0
Other Current Liab,2434335000.0,2115181000.0,1974284000.0,2034302000.0,2873035000.0,366826000.0,576633000.0
Total Assets,14582029000.0,15337174000.0,23150676000.0,34393110000.0,54641929000.0,61118933000.0,65519740000.0
Common Stock,1827000.0,1832000.0,1992000.0,2414000.0,2679000.0,2795000.0,2801000.0
Other Current Assets,1403063000.0,1322044000.0,1590704000.0,1328445000.0,1061243000.0,1464918000.0,2827117000.0
Retained Earnings,-46326321000.0,-48040565000.0,-49216851000.0,-50262046000.0,-51648410000.0,-52099374000.0,-52686483000.0
Other Liab,1063023000.0,1140161000.0,1314389000.0,1473822000.0,1794799000.0,2273959000.0,2444001000.0
Treasury Stock,-203048000.0,-312590000.0,-306113000.0,-98128000.0,-65452000.0,-1989581000.0,-2103908000.0
Other Assets,1642572000.0,1453124000.0,885524000.0,888716000.0,1488001000.0,2203609000.0,3671865000.0
Cash,862839000.0,1977260000.0,10494509000.0,19327717000.0,38425541000.0,28600747000.0,17394414000.0
Total Current Liabilities,9498858000.0,12114228000.0,13049073000.0,10864875000.0,13976240000.0,17031488000.0,22037601000.0
Short Long Term Debt,322436000.0,431436000.0,420038000.0,445038000.0,380560000.0,1141584000.0,1564127000.0
Other Stockholder Equity,-203048000.0,-312590000.0,-306113000.0,-98128000.0,-65452000.0,-139981000.0,-254308000.0
Property Plant Equipment,7685787000.0,7194744000.0,6813545000.0,6632489000.0,6442409000.0,6186458000.0,6563157000.0
Total Current Assets,4928008000.0,6369068000.0,15088886000.0,26325110000.0,46206817000.0,52122287000.0,54683010000.0
Long Term Investments,115325000.0,111310000.0,155225000.0,340764000.0,300121000.0,403410000.0,399959000.0
Net Tangible Assets,-6510023000.0,-8262054000.0,-6002376000.0,7816237000.0,26964250000.0,26618307000.0,26147423000.0
Short Term Investments,184271000.0,607339000.0,269536000.0,2762040000.0,3996638000.0,18628522000.0,29457851000.0
Net Receivables,1588307000.0,1507345000.0,1710151000.0,1867817000.0,1641842000.0,1678280000.0,2816712000.0
Long Term Debt,7154798000.0,7198157000.0,7052650000.0,6764903000.0,5938279000.0,10404564000.0,9791620000.0
Inventory,889528000.0,955080000.0,1023986000.0,1039091000.0,1081553000.0,1749820000.0,2186916000.0
Accounts Payable,3292386000.0,3364483000.0,4145550000.0,5254333000.0,6705908000.0,8750168000.0,10573942000.0
