,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,2603900000.0,2610600000.0,2783200000.0,2583500000.0,2574800000.0,2546200000.0,2665700000.0,,2446400000.0
Capital Surplus,846500000.0,854700000.0,860200000.0,865400000.0,870500000.0,874600000.0,880400000.0,890900000.0,897500000.0
Total Liab,7142800000.0,6803800000.0,7202200000.0,7392000000.0,7808000000.0,7353200000.0,7529400000.0,,7916900000.0
Total Stockholder Equity,2822200000.0,2944500000.0,2961800000.0,3008600000.0,3110700000.0,3031400000.0,3032500000.0,3059100000.0,3108500000.0
Minority Interest,28700000.0,23900000.0,22400000.0,22700000.0,23400000.0,25600000.0,19400000.0,23100000.0,18800000.0
Other Current Liab,283300000.0,261000000.0,784700000.0,332700000.0,361200000.0,328700000.0,1075500000.0,562500000.0,408900000.0
Total Assets,9993700000.0,9772200000.0,10186400000.0,10423300000.0,10942100000.0,10410200000.0,10581300000.0,,11044200000.0
Common Stock,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0
Other Current Assets,28400000.0,19100000.0,31600000.0,18900000.0,7700000.0,22200000.0,59100000.0,7300000.0,21500000.0
Retained Earnings,4465100000.0,4519300000.0,4506400000.0,4627000000.0,4767900000.0,4864900000.0,4991300000.0,5131800000.0,5199100000.0
Other Liab,1279600000.0,1254500000.0,1292600000.0,1235500000.0,1183800000.0,1149400000.0,1137400000.0,1121800000.0,1066900000.0
Good Will,1460700000.0,1464200000.0,1468900000.0,1466400000.0,1465600000.0,1464300000.0,1463300000.0,,1455800000.0
Treasury Stock,-2508000000.0,-2448100000.0,-2423400000.0,-2502400000.0,-2546300000.0,-2726700000.0,-2857800000.0,-2982200000.0,-3006700000.0
Other Assets,754900000.0,790900000.0,636600000.0,796700000.0,772700000.0,740400000.0,553300000.0,702800000.0,688900000.0
Cash,342700000.0,297100000.0,568900000.0,416700000.0,728500000.0,341000000.0,516800000.0,,591500000.0
Total Current Liabilities,2682900000.0,2368300000.0,2829000000.0,3380100000.0,3841500000.0,3427600000.0,3520300000.0,,3985700000.0
Deferred Long Term Asset Charges,249600000.0,256700000.0,229600000.0,225400000.0,227900000.0,213400000.0,218500000.0,,214900000.0
Short Long Term Debt,84800000.0,81300000.0,93600000.0,385100000.0,393600000.0,386600000.0,84500000.0,98600000.0,89200000.0
Other Stockholder Equity,-415200000.0,-357900000.0,-282200000.0,-282800000.0,-304500000.0,-284200000.0,-315700000.0,-435600000.0,-460400000.0
Property Plant Equipment,884300000.0,889600000.0,919000000.0,905700000.0,925100000.0,922500000.0,952200000.0,938800000.0,925600000.0
Total Current Assets,4288200000.0,4015200000.0,4375600000.0,4667100000.0,5197300000.0,4728200000.0,4937600000.0,,5517400000.0
Long Term Investments,1700000.0,1700000.0,3100000.0,3900000.0,6600000.0,8600000.0,9200000.0,10200000.0,10100000.0
Net Tangible Assets,-1242400000.0,-1130300000.0,-1290300000.0,-1041300000.0,-929700000.0,-979100000.0,-1096500000.0,-895500000.0,-793700000.0
Net Receivables,2342400000.0,2137900000.0,2528800000.0,2532800000.0,2627300000.0,2503500000.0,2812100000.0,,2885100000.0
Long Term Debt,3027500000.0,3028300000.0,2929500000.0,2631400000.0,2630800000.0,2631700000.0,2731700000.0,,2731700000.0
Inventory,1138500000.0,1155500000.0,1095600000.0,1254700000.0,1398100000.0,1450500000.0,1405700000.0,,1590400000.0
Accounts Payable,842200000.0,757200000.0,946700000.0,1074400000.0,1158000000.0,1101400000.0,1135000000.0,,1122200000.0
