,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,-91700000.0,48800000.0,-144000000.0,-269000000.0,109000000.0
Total Cashflows From Investing Activities,-1033500000.0,-147300000.0,-3178000000.0,-155000000.0,-540000000.0
Net Borrowings,-52800000.0,2026700000.0,558000000.0,-199000000.0,-161000000.0
Total Cash From Financing Activities,-97400000.0,1978100000.0,461000000.0,-619000000.0,-653000000.0
Change To Operating Activities,-10700000.0,-400000.0,214000000.0,-356000000.0,-51000000.0
Net Income,262300000.0,294900000.0,327000000.0,414000000.0,558000000.0
Change In Cash,-909800000.0,2108900000.0,-1738000000.0,-5000000.0,-126000000.0
Repurchase Of Stock,-6800000.0,-207000000.0,-207000000.0,-207000000.0,-300000000.0
Effect Of Exchange Rate,32300000.0,-36600000.0,-37000000.0,-15000000.0,-6000000.0
Total Cash From Operating Activities,188800000.0,314700000.0,1016000000.0,784000000.0,1073000000.0
Depreciation,103200000.0,109300000.0,319000000.0,385000000.0,441000000.0
Dividends Paid,-42200000.0,-46300000.0,-82000000.0,-93000000.0,-92000000.0
Change To Inventory,-9000000.0,-108900000.0,256000000.0,181000000.0,-41000000.0
Change To Account Receivables,-68700000.0,-54600000.0,-6000000.0,315000000.0,-76000000.0
Other Cashflows From Financing Activities,-2300000.0,-2300000.0,-15000000.0,-120000000.0,-100000000.0
Change To Netincome,-44200000.0,17700000.0,39000000.0,57000000.0,137000000.0
Capital Expenditures,-89500000.0,-93300000.0,-186000000.0,-136000000.0,-130000000.0
Other Cashflows From Investing Activities,-14100000.0,-14100000.0,,,
Issuance Of Stock,4400000.0,,,,
