,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25
Investments,222000.0,-2483000.0,-5945000.0,-204027000.0,-91625000.0,-109956000.0,-155193000.0
Change To Liabilities,-1220000.0,283853000.0,79320000.0,-179725000.0,43910000.0,212836000.0,7687000.0
Total Cashflows From Investing Activities,-16036000.0,-12315000.0,-21063000.0,-223244000.0,-117875000.0,-137882000.0,-198216000.0
Net Borrowings,-228618000.0,3560000.0,-439816000.0,-18022000.0,92315000.0,-9256000.0,99285000.0
Total Cash From Financing Activities,-230413000.0,2308000.0,-450970000.0,-119444000.0,-19951000.0,-115078000.0,-78484000.0
Change To Operating Activities,-166614000.0,124870000.0,45267000.0,-45310000.0,-40669000.0,44328000.0,50711000.0
Net Income,-10797000.0,141697000.0,142633000.0,165997000.0,155716000.0,162286000.0,147233000.0
Change In Cash,-321258000.0,237385000.0,-112310000.0,-276647000.0,22690000.0,-48095000.0,-1168000.0
Repurchase Of Stock,-558000.0,-294000.0,-292000.0,-94817000.0,-113753000.0,-50013000.0,-150099000.0
Effect Of Exchange Rate,15936000.0,-1940000.0,9875000.0,2710000.0,2121000.0,-6350000.0,-1107000.0
Total Cash From Operating Activities,-90745000.0,249332000.0,349848000.0,63331000.0,158395000.0,211215000.0,276639000.0
Depreciation,47112000.0,44569000.0,44874000.0,49363000.0,49915000.0,51555000.0,58695000.0
Other Cashflows From Investing Activities,-8678000.0,-2621000.0,-4088000.0,-5374000.0,-8281000.0,-11032000.0,-12714000.0
Change To Inventory,-59338000.0,-39530000.0,-5987000.0,-78085000.0,-45673000.0,-84163000.0,-87210000.0
Change To Account Receivables,100955000.0,-299530000.0,10509000.0,118795000.0,-17176000.0,-184720000.0,87263000.0
Other Cashflows From Financing Activities,-1237000.0,-958000.0,-10862000.0,-6605000.0,1487000.0,-55809000.0,-27670000.0
Change To Netincome,-843000.0,-6597000.0,33232000.0,32296000.0,12372000.0,9093000.0,12260000.0
Capital Expenditures,-7580000.0,-7211000.0,-11030000.0,-13843000.0,-17969000.0,-16894000.0,-30309000.0
