Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-03-00-00-00,105.48999786376952,106.3499984741211,102.18000030517578,105.0,6208900,0,0
2022-10-04-00-00-00,109.13999938964844,111.61000061035156,108.68000030517578,110.80999755859375,4835000,0,0
2022-10-05-00-00-00,110.5199966430664,112.33999633789062,107.83999633789062,111.76000213623047,4008700,0,0
2022-10-06-00-00-00,112.0,114.41000366210938,110.19999694824219,111.58000183105469,3446500,0,0
2022-10-07-00-00-00,108.87000274658203,109.53199768066406,107.0999984741211,108.54000091552734,3348800,0,0
2022-10-10-00-00-00,108.55000305175781,111.62000274658203,107.41000366210938,110.98999786376953,3945200,0,0
2022-10-11-00-00-00,110.98799896240234,111.0,103.59500122070312,106.81999969482422,5696700,0,0
2022-10-12-00-00-00,107.47000122070312,112.9800033569336,106.11000061035156,112.3499984741211,5539200,0,0
2022-10-13-00-00-00,107.3000030517578,113.12999725341795,105.3000030517578,112.6500015258789,6168800,0,0
2022-10-14-00-00-00,115.0,116.447998046875,109.01000213623048,109.16000366210938,4984300,0,0
2022-10-17-00-00-00,112.33000183105467,116.76000213623048,111.02999877929688,116.5,5413000,0,0
2022-10-18-00-00-00,120.02999877929688,120.70999908447266,115.6999969482422,117.94000244140624,5567300,0,0
2022-10-19-00-00-00,116.23500061035156,118.83999633789062,115.3000030517578,116.87000274658205,3407100,0,0
2022-10-20-00-00-00,116.3499984741211,120.55999755859375,116.0,117.0,3960000,0,0
