Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01-00-00-00,1105.400024,1108.969971,1096.73999,1103.680054,1103.680054,3755500
2017-11-02-00-00-00,1097.810059,1101.939941,1086.869995,1094.219971,1094.219971,3684900
2017-11-03-00-00-00,1091.150024,1112.680054,1088.52002,1111.599976,1111.599976,3751500
2017-11-06-00-00-00,1109.150024,1125.410034,1108.77002,1120.660034,1120.660034,3381100
2017-11-07-00-00-00,1124.73999,1130.599976,1117.5,1123.170044,1123.170044,2689000
2017-11-08-00-00-00,1122.819946,1135.540039,1119.109985,1132.880005,1132.880005,2581500
2017-11-09-00-00-00,1125.959961,1129.619995,1115.77002,1129.130005,1129.130005,3732700
2017-11-10-00-00-00,1126.099976,1131.75,1124.060059,1125.349976,1125.349976,2179900
2017-11-13-00-00-00,1123.0,1139.900024,1122.339966,1129.170044,1129.170044,2918400
2017-11-14-00-00-00,1130.109985,1138.0,1123.890015,1136.839966,1136.839966,3138400
2017-11-15-00-00-00,1127.01001,1131.75,1121.630005,1126.689941,1126.689941,3928700
2017-11-16-00-00-00,1130.160034,1138.160034,1130.050049,1137.290039,1137.290039,2213300
2017-11-17-00-00-00,1138.280029,1138.800049,1125.810059,1129.880005,1129.880005,2413400
2017-11-20-00-00-00,1129.77002,1133.420044,1122.550049,1126.310059,1126.310059,2163900
2017-11-21-00-00-00,1132.859985,1140.0,1128.199951,1139.48999,1139.48999,2479400
2017-11-22-00-00-00,1141.0,1160.27002,1141.0,1156.160034,1156.160034,3555300
2017-11-24-00-00-00,1160.699951,1186.839966,1160.699951,1186.0,1186.0,3528000
2017-11-27-00-00-00,1202.660034,1213.410034,1191.150024,1195.829956,1195.829956,6744000
2017-11-28-00-00-00,1204.880005,1205.339966,1188.52002,1193.599976,1193.599976,4559400
2017-11-29-00-00-00,1194.800049,1194.800049,1145.189941,1161.27002,1161.27002,9257500
2017-11-30-00-00-00,1167.099976,1178.569946,1160.0,1176.75,1176.75,4509200
